id,Q1,RQ1,Q2a1,Q2a2,MQ2A2_61,RQ2A2,Q2B,Q2A2_14,MQ2A2_1461,RQ2A2_14,Q3,Q3B1,Q3B2,Q3B3,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,총액1인MIS,C총액1인TOT,DAY평균,RDAY평균,Q7,Q8,Q9,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_ENT,D_PLA,D_Q1,D_TYP
10008,1,1.00,120,121,,14.00,1,107.00,,14.00,4,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,4629.00,4.00,,,4,4,4,5.00,2.00,2.00,2.00,3.00,4.00,1.00,1.00,1.00,
10015,5,4.00,140,141,,14.00,1,127.00,,14.00,4,,,,1,2,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,7001.27,5.00,,,5,5,5,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,4.00,1.00
10019,1,1.00,15,16,16.00,11.00,2,16.00,16.00,11.00,3,,,,,,3,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2411.00,3.00,150.69,3.00,4,3,4,5.00,2.00,12.00,1.00,3.00,3.00,2.00,1.00,1.00,
10021,4,4.00,80,81,,13.00,1,67.00,,13.00,4,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4375.80,4.00,,,4,3,3,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,4.00,1.00
10026,10,4.00,240,241,,14.00,1,227.00,,14.00,4,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,6.00,,,4,3,3,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,4.00,1.00
10030,3,3.00,150,151,,14.00,1,137.00,,14.00,4,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16,,1,,,,,,7,,8751.59,5.00,,,4,4,5,5.00,2.00,2.00,1.00,1.00,4.00,1.00,1.00,3.00,1.00
10034,1,1.00,150,151,,14.00,1,137.00,,14.00,4,,,,1,2,,4,,6,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,6563.69,5.00,,,5,5,5,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00
10035,1,1.00,20,21,21.00,11.00,2,21.00,21.00,11.00,3,,,,,2,,,,,,,,,,,,14,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,3254.85,4.00,154.99,3.00,4,2,4,5.00,2.00,97.00,1.00,2.00,3.00,2.00,1.00,1.00,
10038,1,1.00,11,12,12.00,11.00,2,12.00,12.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,15,,,1,,,,,,7,,3616.50,4.00,301.38,4.00,5,5,5,5.00,2.00,12.00,1.00,3.00,3.00,2.00,1.00,1.00,
10043,2,2.00,240,241,,14.00,1,227.00,,14.00,4,,,,,2,3,4,5,,,,,,,,,,15,,,1,,,,,6,,,,,,,,,,,,1,,,,5,,,,,6.00,,,5,5,5,5.00,2.00,97.00,1.00,2.00,4.00,1.00,1.00,2.00,
10056,10,4.00,210,211,,14.00,1,197.00,,14.00,2,13,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,,,1,,,,,,7,,8000.00,5.00,,,5,5,5,5.00,2.00,9.00,2.00,3.00,2.00,1.00,1.00,4.00,
10062,1,1.00,180,181,,14.00,1,167.00,,14.00,3,,,,,2,3,4,,6,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,4,4,4,5.00,2.00,9.00,2.00,2.00,3.00,1.00,1.00,1.00,
10065,10,4.00,20,21,21.00,11.00,1,7.00,7.00,2.00,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,10,,,13,,,,,,,,,,6,,,3000.00,3.00,142.86,3.00,4,4,4,5.00,2.00,9.00,1.00,5.00,3.00,1.00,2.00,4.00,
10068,2,2.00,15,16,16.00,11.00,1,2.00,2.00,1.00,2,13,,,,2,,,,,,,,,,,,,,,17,,,3,,,,,,,,,,,,,,,,,3,,,,,,1750.00,2.00,109.38,3.00,5,5,5,5.00,2.00,9.00,1.00,5.00,2.00,1.00,2.00,2.00,
10070,2,2.00,89,90,,13.00,1,76.00,,13.00,2,1,2,10,1,2,3,4,5,6,,,,,11,12,13,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,10000.00,5.00,,,5,5,5,5.00,2.00,17.00,1.00,2.00,2.00,1.00,2.00,2.00,
10074,1,1.00,29,30,30.00,11.00,1,16.00,16.00,11.00,2,1,5,2,1,2,3,4,,6,,,,,,,,,,,,1,,,,,,,,9,,,,13,,,,,1,,,,,6,,,5000.00,4.00,166.67,3.00,4,5,5,5.00,2.00,9.00,2.00,5.00,2.00,1.00,2.00,1.00,
10081,1,1.00,29,30,30.00,11.00,1,16.00,16.00,11.00,1,1,3,2,,2,3,4,5,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,1,2,3,,,,,,1000.00,1.00,33.33,1.00,5,4,5,5.00,2.00,9.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00
10087,1,1.00,120,121,,14.00,1,107.00,,14.00,3,,,,,,,,,,,,,,,,,14,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,7715.00,5.00,,,5,5,5,5.00,2.00,2.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00
10088,2,2.00,210,211,,14.00,1,197.00,,14.00,3,,,,,2,3,4,5,6,,,,,,,,14,,,,1,2,3,,5,,,,,,11,,,,,,,1,2,3,,5,6,,,10000.00,5.00,,,5,5,5,5.00,2.00,9.00,2.00,3.00,3.00,1.00,1.00,2.00,
10094,2,2.00,18,19,19.00,11.00,2,19.00,19.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,2777.40,3.00,146.18,3.00,5,5,5,5.00,2.00,2.00,1.00,4.00,3.00,2.00,1.00,2.00,1.00
10100,2,2.00,20,21,21.00,11.00,1,7.00,7.00,2.00,2,13,,,,2,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,2000.00,2.00,95.24,2.00,5,5,5,5.00,2.00,9.00,2.00,5.00,2.00,1.00,2.00,2.00,
10102,1,1.00,24,25,25.00,11.00,1,11.00,11.00,11.00,3,,,,,,3,,,,,,,,,,,14,,,,1,,3,,,,,,,,,,,,,,17,1,,3,,,,,8,4000.00,4.00,160.00,3.00,4,4,5,5.00,2.00,9.00,1.00,2.00,3.00,1.00,2.00,1.00,
10103,1,1.00,18,19,19.00,11.00,2,19.00,19.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,3086.00,4.00,162.42,3.00,4,5,4,5.00,2.00,2.00,1.00,3.00,3.00,2.00,1.00,1.00,1.00
10104,8,4.00,60,61,,13.00,1,47.00,47.00,12.00,4,,,,1,2,,,,,,,,,,12,,,15,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,8751.59,5.00,,,5,5,5,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,4.00,1.00
10110,1,1.00,270,271,,14.00,1,257.00,,14.00,4,,,,1,2,3,4,,,,,,,,,,,15,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,6.00,,,5,5,5,5.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00
10111,2,2.00,180,181,,14.00,1,167.00,,14.00,2,13,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,8000.00,5.00,,,2,4,2,5.00,2.00,9.00,1.00,2.00,2.00,1.00,2.00,2.00,
10124,15,4.00,299,300,,14.00,1,286.00,,14.00,2,1,4,3,,2,3,4,5,6,,,,,,,,,,,,,,,4,,,,,,,,12,13,,,,17,,,,4,,6,,8,,6.00,,,5,5,5,5.00,2.00,9.00,1.00,4.00,2.00,1.00,2.00,4.00,
10129,2,2.00,300,301,,14.00,1,287.00,,14.00,4,,,,,2,3,4,5,,,,,,,,,,15,,,1,2,3,,,,,,,,,,,,,,,1,2,3,,,,,,7560.70,5.00,,,5,2,5,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,2.00,
10130,1,1.00,100,101,,14.00,1,87.00,,13.00,4,,,,,2,3,4,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4629.00,4.00,,,5,4,5,5.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00
10141,1,1.00,29,30,30.00,11.00,2,30.00,30.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,6027.50,5.00,200.92,3.00,5,4,5,5.00,2.00,97.00,1.00,4.00,3.00,2.00,2.00,1.00,
10143,2,2.00,29,30,30.00,11.00,1,16.00,16.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,6027.50,5.00,200.92,3.00,5,4,5,5.00,2.00,97.00,1.00,5.00,3.00,1.00,2.00,2.00,
10157,1,1.00,29,30,30.00,11.00,1,16.00,16.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,10,,,,,,,,1,,,,,6,,,,6.00,,,5,5,5,5.00,2.00,11.00,1.00,3.00,3.00,1.00,2.00,1.00,
10171,8,4.00,49,50,50.00,12.00,2,50.00,50.00,12.00,3,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,2657.43,3.00,53.15,2.00,3,3,3,6.00,2.00,2.00,1.00,4.00,3.00,2.00,6.00,4.00,
10223,5,4.00,180,181,,14.00,1,167.00,,14.00,4,,,,1,2,3,4,,,,,,,11,12,,,15,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,4429.05,4.00,,,5,5,5,6.00,2.00,2.00,2.00,2.00,4.00,1.00,2.00,4.00,
10228,10,4.00,209,210,,14.00,1,196.00,,14.00,6,,,,,,,,,,,,,,,12,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,6.00,,,5,4,5,6.00,2.00,2.00,1.00,6.00,6.00,1.00,1.00,4.00,
10234,15,4.00,99,100,,14.00,1,86.00,,13.00,2,3,5,4,1,2,3,4,,,,,,,,,,,,,,,,,4,,,,,,10,,,13,14,,,,,,,4,,6,7,,6268.00,5.00,,,4,4,4,6.00,2.00,2.00,1.00,4.00,2.00,1.00,1.00,4.00,1.00
10236,1,1.00,359,360,,14.00,1,346.00,,14.00,2,4,3,2,1,2,3,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,5,5,5,6.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,
10239,1,1.00,179,180,,14.00,1,166.00,,14.00,4,,,,1,2,3,4,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,17,1,,,,,,,8,,6.00,,,3,3,2,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00
10242,20,4.00,329,330,,14.00,1,316.00,,14.00,4,,,,1,2,3,4,,,,,,,,,,,15,,,1,,,,,,,,9,,,,,,,,17,1,,,,,6,,8,,6.00,,,4,4,4,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,4.00,1.00
10249,1,1.00,30,31,31.00,12.00,1,17.00,17.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,7,,,,,,,,,,,1,,,,5,,,,2657.43,3.00,85.72,2.00,4,4,4,6.00,2.00,1.00,1.00,3.00,3.00,1.00,2.00,1.00,1.00
