pnid,MVIT,RVIT,XRVIT,MVIT5Y,RVIT5Y,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,ZQ2_31,ZQ2_32,ZQ2_33,ZQ2_34,Q2_3_직전_숙박일수,Q2_3_직후_숙박일수,MQ2_3_직전_숙박일수,MQ2_3_직후_숙박일수,Q2_3a2at,Q2_3a2bt,Q2_3a2ct,Q2_3a2dt,Q2_3a2et,Q2_3a3at,Q2_3a3bt,Q2_3a3ct,Q2_3a3dt,Q2_3a3et,Q2_3b2a,Q2_3b2b,Q2_3b2c,Q2_3b2d,Q2_3b2e,Q2_3b3a,Q2_3b3b,Q2_3b3c,Q2_3b3d,Q2_3b3e,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a_dk,Q6,MQ6_1R,Q6_1R,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8a20,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R1일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,WQ9_5a01,WQ9_5a02,WQ9_5a03,WQ9_5a04,WQ9_5a05,WQ9_5a06,WQ9_5a07,WQ9_5a08,WQ9_5a09,WQ9_5a10,WQ9_5a11,WQ9_5a12,WQ9_5a13,WQ9_5a14,WQ9_5a15,WQ9_5a16,WQ9_5a17,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인TOT2,C총액1인TOT2,총액1인TOT_개별국제교통비제외2,C총액1인TOT_개별국제교통비제외2,MDAY전체TOT_RAW61,RDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외61,RDAY전체_개별국제교통비제외61,MDAY개별대체61,MDAY에어대체61,MDAY단체대체61,RDAY개별대체61,RDAY에어대체61,RDAY단체대체61,MDAY개별대체_개별국제교통비제외61,MDAY에어대체_개별국제교통비제외61,MDAY단체대체_개별국제교통비제외61,RDAY개별대체_개별국제교통비제외61,RDAY에어대체_개별국제교통비제외61,RDAY단체대체_개별국제교통비제외61,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,단기투어상품1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,C단기투어상품1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q12a27,Q13,Q14,D_MON,D_BUN,D_NAT,D_NAT2,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight1,weight2,weight3,weight4,weight
4066,1,1,,5.0,2,1,1,1,7,11,2,4,12,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,2,6,10,,1,,,,4,,,1,6,,,4,1,,,,,,,,,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,5,,7,,,,11,,13,,,,,,,,5,2,7,26006,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,6,7,7,2,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,6,,,,,1757.10,2,1534.21,2,251.01,3,219.17,3,251.01,,,3,,,219.17,,,3,,,,0.00,334.33,222.89,0.00,0.00,222.89,0.00,0.00,0.00,0.00,14.86,22.29,0.00,0.00,0.00,0.00,742.96,11.14,0.00,185.74,0.00,0.00,,1,4,4,1,1,4,1,1,1,1,2,2,1,1,1,1,4,2,1,4,1,1,1,,3,4,5,,,,,,,,,30.00,0.00,40.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,,5,3,4,5,,5,,5,,,,2,,5,,,,3,2,3,3,2,4,3,3,4,3,,4,4,3,1,10,,1,3,1,1,1,536.23,,,,536.23
4067,1,1,,12.0,3,1,1,1,6,9,11,1,6,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,5,6,2,3,1,,,,10,2,1,2,6,7,,3,1,,,,,,,,,,,1,0,0,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,5,,7,,,,,,13,14,,,,,,,1,3,5,11020,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,7,8,8,3,7,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,7,,,,,,,,3994.53,4,2948.84,3,499.32,4,368.60,4,499.32,,,4,,,368.60,,,4,,,,0.00,1394.25,348.56,17.43,1045.69,0.00,0.00,0.00,0.00,0.00,17.43,104.57,0.00,0.00,0.00,0.00,1045.69,20.91,0.00,0.00,0.00,0.00,,1,5,4,2,4,1,1,1,1,1,2,4,1,1,1,1,4,2,1,1,1,1,1,,3,,5,,,,,,,,,25.00,0.00,60.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,1,4,5,5,5,5,,5,,5,,,,,,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,14,,1,3,1,1,1,412.99,,,,412.99
4068,3,3,5,5.0,2,1,2,8,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,3,4,6,3,4,,,,,,,,,11,3,,,,,,,,,,,99,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,1,3,5,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,10,11,11,4,10,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,10,,,,,,,,10,,1573.02,2,570.30,1,143.00,3,51.85,2,143.00,,,3,,,51.85,,,2,,,,0.00,0.00,188.01,125.34,1002.72,0.00,0.00,0.00,0.00,0.00,6.27,62.67,0.00,0.00,0.00,0.00,188.01,0.00,0.00,0.00,0.00,0.00,,1,1,4,4,4,1,1,1,1,1,2,3,1,1,1,1,4,1,1,1,1,1,,2,3,,,,,,,,,,,0.00,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8,7,5,5,5,5,5,5,,,,,,,,,,,,5,4,5,5,5,4,5,4,5,5,,5,5,3,1,15,,2,6,2,3,1,473.82,,,,473.82
4069,10,4,5,15.0,4,1,1,6,10,3,1,10,3,,2,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,7,3,1,1,4,7,,1,7,8,,,,11,2,1,,,,,,,,,,,2,,,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,,,,,,,,,,,,,,,,,2,1,3,11020,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,2,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,1470.15,2,994.95,1,367.54,4,248.74,3,367.54,,,4,,,248.74,,,3,,,,0.00,133.65,207.90,0.00,0.00,475.20,0.00,0.00,0.00,0.00,29.70,0.00,0.00,0.00,29.70,0.00,594.00,0.00,0.00,0.00,0.00,0.00,,1,3,4,1,1,4,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,,2,3,4,,,,,,,,,,0.00,10.00,40.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,8,5,5,5,4,,,,,,,,,,,,,,4,4,5,4,4,4,4,5,5,5,,5,5,3,1,6,,2,4,1,4,1,412.03,,,,412.03
4070,4,4,5,7.0,2,1,3,,,,5,1,9,,9,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,,2,1,7,1,6,2,,2,1,,,,,,,,,,,2,,,2,,,,,,,7,,2,1,0,2,1,2,1,0,2,1,,2,3,,,,,,,,,,,,,,,18,,,18,2,3,11005,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,2,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1336.50,2,861.30,1,267.30,3,172.26,3,267.30,,,3,,,172.26,,,3,,,,0.00,237.60,178.20,0.00,0.00,475.20,0.00,0.00,0.00,0.00,0.00,29.70,0.00,0.00,0.00,89.10,297.00,0.00,0.00,0.00,29.70,0.00,,1,4,4,1,1,4,1,1,1,1,1,2,1,1,1,3,4,1,1,1,2,1,1,,,,,,7,8,,,,,,30.00,0.00,0.00,0.00,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00,0.00,6,1,4,5,,5,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,4,5,3,1,6,,1,4,3,4,1,482.19,,,,482.19
4071,3,3,5,2.0,1,1,1,2,8,6,1,4,12,,2,6,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,5,4,3,6,3,,,,,,,,,,11,5,1,,,4,,,7,,9,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,,,,,5,,7,,,,,12,,,,,,,,,12,7,5,26006,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,2,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1159.40,2,492.89,1,193.23,3,82.15,2,193.23,,,3,,,82.15,,,2,,,,0.00,240.58,190.43,47.61,666.50,0.00,0.00,0.00,0.00,0.00,14.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,4,4,3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,,,,,5,,5,,,,,5,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,3,1,15,,2,3,1,3,1,302.86,,,,302.86
4072,3,3,5,4.0,1,1,1,7,9,2,8,12,1,,3,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,12,3,1,7,1,4,5,,4,7,8,,,,11,4,1,,,,,,,,,,,2,,,2,,,,,,6,,,3,2,0,3,2,3,2,0,3,2,,,3,,,6,,8,,,,12,,,,,,,,,12,8,3,41001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,2,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,4,,,,,,,1722.60,2,1247.40,2,344.52,4,249.48,3,344.52,,,4,,,249.48,,,3,,,,0.00,148.50,297.00,0.00,0.00,475.20,0.00,0.00,0.00,0.00,59.40,0.00,0.00,0.00,29.70,118.80,594.00,0.00,0.00,0.00,0.00,0.00,,1,3,4,1,1,4,1,1,1,1,3,1,1,1,2,4,4,1,1,1,1,1,1,,,4,5,,,,,,,,,20.00,0.00,0.00,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5,8,5,,,5,,,5,,5,,,,5,,,,,4,4,4,4,4,4,4,4,5,4,,5,5,3,1,6,,1,3,1,3,1,438.21,,,,438.21
4073,2,2,5,2.0,1,1,2,9,7,8,5,11,7,,7,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,2,10,4,1,,,1,5,9,6,4,5,,2,,,,,,,,,,,99,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,4,,,,,,,,,,,,,,,,,4,2,1,11005,11001,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,2,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,5,,,,,,,,5,,1247.40,2,801.90,1,207.90,3,133.65,3,207.90,,,3,,,133.65,,,3,,,,0.00,0.00,148.50,0.00,0.00,445.50,0.00,0.00,0.00,0.00,59.40,0.00,0.00,0.00,0.00,0.00,594.00,0.00,0.00,0.00,0.00,0.00,,1,1,4,1,1,4,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,2,,4,,,,,,,,,,60.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,3,8,5,5,5,,5,,,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,,4,4,3,1,6,,2,4,2,2,1,412.03,,,,412.03
4074,15,4,5,20.0,5,1,1,7,8,,1,,,,3,,,,2,,4,4,,10,,1,,,,,,,,,,10,,,,,,,,,,16,8,2,4,3,2,1,4,3,,6,2,5,8,,,,2,1,,,,,,7,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,,,,8,,,,,,,,16,,,,,8,16,1,42006,,,,,1,,,4,,,,,,,,,,,,,17,1,,,4,,,,8,,,3,1,2,63,64,,12,30,,,30,,,,,,,,,,,,,3,31,,,31,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,5,1,,,,5,,,,,60,,,,3,,,,,,,,,,,,5791.50,5,5598.02,5,,,,,,,,,,,,,,,,,,0.00,2579.73,1031.89,0.00,0.00,193.48,0.00,38.70,0.00,0.00,64.49,128.99,0.00,0.00,1031.89,515.95,128.99,77.39,0.00,0.00,0.00,0.00,,1,5,4,1,1,3,1,1,1,1,3,4,1,1,4,4,4,3,1,1,1,1,,,3,,,,,,,,,,,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,,,5,5,5,,,,,,5,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,,5,5,3,1,5,,1,2,1,4,1,384.76,,,,384.76
4075,2,2,5,3.0,1,1,1,3,10,7,1,10,9,,9,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,1,5,6,1,4,3,,4,9,7,4,5,2,,2,1,,,,,,,,,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,4,5,6,,,,,,,,,,,,,,,2,4,6,11012,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,2,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,3,,,,,,,987.53,1,512.33,1,246.88,3,128.08,3,246.88,,,3,,,128.08,,,3,,,,0.00,118.80,148.50,0.00,0.00,475.20,0.00,0.00,0.00,0.00,29.70,0.00,0.00,0.00,7.43,59.40,148.50,0.00,0.00,0.00,0.00,0.00,,1,3,4,1,1,4,1,1,1,1,2,1,1,1,2,3,4,1,1,1,1,1,1,2,3,4,,,,,,,,,,25.00,30.00,25.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,2,1,5,4,4,4,4,4,4,,,,,,,,,,,4,4,5,4,4,5,4,4,5,5,,5,5,3,1,6,,1,3,1,2,1,438.21,,,,438.21
4076,2,2,5,3.0,1,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,11,5,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,,,,,,,,,13,,,,,18,,,13,2,1,11003,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,2,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,2882.82,3,1172.14,2,720.71,5,293.03,3,720.71,,,5,,,293.03,,,3,,,,0.00,760.30,190.08,0.00,1710.68,0.00,0.00,0.00,0.00,0.00,0.00,95.04,0.00,0.00,0.00,0.00,126.72,0.00,0.00,0.00,0.00,0.00,,1,5,4,1,4,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,2,3,,,6,,,,,,,,20.00,20.00,10.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,6,4,5,5,,,,,,,,,,,5,,,,3,4,5,5,5,4,4,9,4,4,,5,5,3,1,15,,2,4,3,2,1,263.07,,,,263.07
4077,7,4,5,10.0,3,1,3,,,,5,1,4,,3,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,6,,6,8,4,5,8,1,,3,1,,,,,,,,,,,2,,,2,,,,,,,7,,3,2,0,3,2,3,2,0,3,2,1,2,3,4,,,,,,,,,,,,,,,19,,19,3,1,11030,11012,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,2,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1559.25,2,1084.05,2,259.88,3,180.68,3,259.88,,,3,,,180.68,,,3,,,,0.00,297.00,297.00,0.00,0.00,475.20,0.00,0.00,0.00,0.00,29.70,14.85,0.00,0.00,0.00,0.00,445.50,0.00,0.00,0.00,0.00,0.00,,1,4,4,1,1,4,1,1,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,2,3,4,,,,,,,,,,60.00,10.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,4,1,5,5,5,5,5,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,3,1,6,,2,3,3,4,1,496.51,,,,496.51
4079,3,3,5,10.0,3,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,3,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,11,,,,,,,18,,,11,1,,11071,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,2,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,4073.55,4,1814.05,2,1018.39,5,453.51,4,1018.39,,,5,,,453.51,,,4,,,,0.00,387.34,1291.14,0.00,2259.50,0.00,0.00,0.00,0.00,0.00,6.46,129.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,4,4,1,4,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,4,5,,,,,,,,,,4,,,,,,3,3,3,4,4,4,3,3,4,3,,4,4,3,1,15,,1,4,3,3,1,379.65,,,,379.65
4080,5,4,5,10.0,3,1,1,9,8,2,1,5,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,2,8,3,,,,,,,,,,11,1,1,,,,,,,,,,,2,,,2,,,,,5,,,,3,2,0,3,2,3,2,0,3,2,1,2,,,,,,,,,,,,,,,,,,,2,1,,28003,,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,1,,,1,,2,3,3,1,0,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,2,,,,,,,,1287.00,2,1018.88,2,429.00,4,339.63,4,429.00,,,4,,,339.63,,,4,,,,0.00,80.44,134.06,0.00,0.00,268.13,0.00,0.00,0.00,0.00,53.63,53.63,0.00,0.00,0.00,0.00,670.31,26.81,0.00,0.00,0.00,0.00,,1,2,4,1,1,4,1,1,1,1,3,3,1,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,,,,,,20.00,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,2,,4,4,4,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,4,4,3,1,5,,2,2,1,4,1,667.83,,,,667.83
4081,6,4,5,10.0,3,1,4,,,,11,5,1,,6,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,,7,1,9,,,,11,2,1,,,,,,,,,,,2,,,2,,,,,,,7,,2,1,0,2,1,2,1,0,2,1,,2,3,,,,,,,,,,,,,,,,19,,19,3,2,42001,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,15,16,16,4,,15,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,15,,,,,,,,15,,,1321.65,2,856.89,1,82.60,2,53.56,2,82.60,,,2,,,53.56,,,2,,,,0.00,246.90,290.47,0.00,0.00,464.76,0.00,0.00,0.00,0.00,29.05,0.00,0.00,0.00,0.00,0.00,290.47,0.00,0.00,0.00,0.00,0.00,,1,4,4,1,1,4,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,2,,,,,,,,,,,,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,7,4,4,,5,5,,,,,,,,,,,,,,4,4,5,4,5,5,5,5,5,5,,4,4,3,1,6,,2,3,4,4,1,496.51,,,,496.51
4083,6,4,5,4.0,1,1,1,2,10,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,11,10,3,,1,,,,1,5,,6,,,,5,1,,,4,,,,,,,,2,,,2,,,,,5,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,,,,,,,,,,,,,,,,,1,2,3,42001,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,,3,1,2,5,6,6,2,5,,,0,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,5,,,0,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1880.10,2,1558.17,2,313.35,4,259.69,3,313.35,,,4,,,259.69,,,3,,,,0.00,515.10,321.93,0.00,0.00,321.93,0.00,0.00,0.00,0.00,32.19,12.88,0.00,0.00,0.00,0.00,643.87,32.19,0.00,0.00,0.00,0.00,,1,5,4,1,1,4,1,1,1,1,3,2,1,1,1,1,4,3,1,1,1,1,1,,3,,,,,,,,,,,20.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,3,,4,4,4,3,,,,,,,,,,,,,,2,4,4,3,3,3,3,2,4,3,,3,3,3,1,5,,1,2,1,4,1,384.76,,,,384.76
