IDX,Q1,RQ1,Q2_1,Q2_2A1,Q2_2A2,Q2_2A3,Q3A1,MQ3A1_60,RQ3A1,Q3A2,MQ3A2_61,RQ3A2,Q3B,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4K01,Q4K02,Q4K03,Q4K04,Q4K05,Q4K06,Q4K07,Q4K08,MQ5_1T,CQ5_1T,DAY평균,RDAY평균,Q6,Q6_1,Q7A01,Q7A02,Q7A03,Q7A04,Q7A05,Q7A06,Q7A07,Q7A08,Q7A09,Q7A10,Q7A11,Q7A12,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_ENT
942.00,3,3.00,3,,,,300.00,,14,301.00,,13.00,,,,,,,,,,,,,,,14.00,,,,,,,,,,7,,6775.07,6.00,,,4,2,13,2,1,3,10,,,,,,,,10.00,4.00,18.00,1.00,30.00,3.00,3.00,
943.00,10,4.00,2,13,,,80.00,,14,81.00,,12.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4800.00,6.00,,,5,5,2,,,,,,,,,,,,10.00,4.00,9.00,2.00,50.00,2.00,4.00,1.00
944.00,10,4.00,3,,,,70.00,,14,71.00,,12.00,1,,,,,5.00,,,,,,,,,,,,,,,,,5,,,,3786.40,6.00,,,3,3,13,,,,,,,,,,,,10.00,4.00,1.00,1.00,30.00,3.00,4.00,1.00
945.00,4,4.00,3,,,,90.00,,14,91.00,,13.00,1,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,5868.92,6.00,,,4,4,13,2,,,,,,,,,,,10.00,4.00,1.00,1.00,30.00,3.00,4.00,1.00
946.00,2,2.00,3,,,,180.00,,14,181.00,,13.00,1,,,,,,,,8.00,,,,,,,,,,,,,,5,,,,6626.20,6.00,,,4,2,13,2,10,3,,,,,,,,,10.00,4.00,1.00,1.00,30.00,3.00,2.00,1.00
947.00,1,1.00,3,,,,40.00,40.00,13,41.00,41.00,11.00,1,1.00,,,4.00,,,,,,,,,,,,,,1,,,4,,,,,3000.00,5.00,73.17,1.00,3,3,13,,,,,,,,,,,,10.00,4.00,12.00,1.00,40.00,3.00,1.00,1.00
948.00,5,4.00,3,,,,245.00,,14,246.00,,13.00,,1.00,,,,,,,,9.00,,11.00,,13.00,,,,17.00,1,,,,,6,,8,,98.00,,,4,5,3,4,6,13,,,,,,,,,10.00,4.00,13.00,2.00,20.00,3.00,4.00,
949.00,11,4.00,2,13,,,60.00,60.00,14,61.00,,12.00,1,1.00,,,,,,,,,,,,,,,,17.00,1,,,,,,,8,7000.00,6.00,,,5,5,1,2,3,,,,,,,,,,10.00,4.00,9.00,1.00,30.00,2.00,4.00,1.00
950.00,4,4.00,3,,,,35.00,35.00,13,36.00,36.00,11.00,1,1.00,,,,,,,,,,,12.00,,,,,,1,,,,,6,,,7507.52,6.00,208.54,3.00,4,5,13,,,,,,,,,,,,10.00,4.00,11.00,1.00,50.00,3.00,4.00,1.00
951.00,12,4.00,2,13,,,21.00,21.00,12,22.00,22.00,11.00,1,1.00,,3.00,,,,,,9.00,,,,13.00,,,,,1,,3,,,6,,,2260.20,5.00,102.74,2.00,4,5,3,4,16,,,,,,,,,,10.00,4.00,10.00,1.00,30.00,2.00,4.00,1.00
952.00,3,3.00,3,,,,350.00,,14,351.00,,13.00,,1.00,,3.00,,,,,,,,,,,,,,,1,,3,,,,,,2964.09,5.00,,,5,5,1,2,3,4,8,13,,,,,,,10.00,4.00,17.00,1.00,30.00,3.00,3.00,
953.00,4,4.00,3,,,,320.00,,14,321.00,,13.00,,,,,,,6.00,,,,,,,,,,,,,,,,5,,,,1693.77,4.00,,,4,5,13,10,,,,,,,,,,,10.00,4.00,2.00,1.00,40.00,3.00,4.00,
954.00,10,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,1,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,4733.00,6.00,152.68,2.00,4,3,13,2,,,,,,,,,,,10.00,4.00,1.00,1.00,50.00,3.00,4.00,1.00
955.00,4,4.00,3,,,,45.00,45.00,13,46.00,46.00,11.00,1,,,,,,,,,,,,12.00,,,,,,,,,,,6,,,4259.70,6.00,92.60,1.00,3,3,13,,,,,,,,,,,,10.00,4.00,1.00,1.00,30.00,3.00,4.00,1.00
956.00,5,4.00,3,,,,21.00,21.00,12,22.00,22.00,11.00,2,,,3.00,4.00,,,,,,,,,,,,,,,,3,4,,,,,4100.00,6.00,186.36,2.00,4,3,13,,,,,,,,,,,,10.00,4.00,12.00,1.00,30.00,3.00,4.00,2.00
957.00,2,2.00,2,13,,,60.00,60.00,14,61.00,,12.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2540.65,5.00,,,4,4,16,,,,,,,,,,,,10.00,4.00,10.00,2.00,40.00,2.00,2.00,1.00
958.00,2,2.00,3,,,,364.00,,14,365.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,6775.07,6.00,,,5,4,13,1,,,,,,,,,,,10.00,4.00,97.00,1.00,30.00,3.00,2.00,
959.00,2,2.00,4,,,,364.00,,14,365.00,,13.00,,,,,,,,,,,,,,,,,16.00,,,,,,,,7,,,98.00,,,5,5,14,1,2,3,,,,,,,,,10.00,4.00,97.00,1.00,20.00,4.00,2.00,
960.00,3,3.00,2,13,,,180.00,,14,181.00,,13.00,1,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,2879.40,5.00,,,5,5,2,16,,,,,,,,,,,10.00,4.00,15.00,2.00,50.00,2.00,3.00,1.00
961.00,15,4.00,3,,,,21.00,21.00,12,22.00,22.00,11.00,2,,,3.00,,,,,,,,,,,,,,,,,3,,,,,,3525.30,6.00,160.24,2.00,4,4,1,13,,,,,,,,,,,10.00,4.00,12.00,1.00,40.00,3.00,4.00,2.00
962.00,2,2.00,2,3,7,2,90.00,,14,91.00,,13.00,1,,,,,,,,,,,11.00,,,,,,,,,,,,6,,,5000.00,6.00,,,5,5,2,7,,,,,,,,,,,10.00,4.00,9.00,2.00,30.00,2.00,2.00,1.00
963.00,1,1.00,3,,,,35.00,35.00,13,36.00,36.00,11.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,4,3,4,13,,,,,,,,,,,10.00,4.00,9.00,1.00,40.00,3.00,1.00,1.00
964.00,1,1.00,3,,,,330.00,,14,331.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,5928.18,6.00,,,5,4,2,3,10,13,,,,,,,,,10.00,4.00,17.00,1.00,30.00,3.00,1.00,
965.00,1,1.00,3,,,,90.00,,14,91.00,,13.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1000.00,2.00,,,4,4,2,3,4,,,,,,,,,,10.00,4.00,9.00,1.00,30.00,3.00,1.00,1.00
966.00,6,4.00,2,4,2,10,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2540.65,5.00,81.96,1.00,4,5,2,3,11,,,,,,,,,,10.00,4.00,9.00,1.00,40.00,2.00,4.00,1.00
967.00,8,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,1,,,,,,,7.00,,,,,,,,,,,,,,,5,,,,1355.01,3.00,43.71,1.00,4,5,13,,,,,,,,,,,,10.00,4.00,9.00,1.00,40.00,3.00,4.00,1.00
968.00,1,1.00,2,11,12,5,270.00,,14,271.00,,13.00,,,,,4.00,,,,,,,,,,,,,,,,,4,,,,,677.51,2.00,,,4,5,3,,,,,,,,,,,,10.00,4.00,17.00,2.00,30.00,2.00,1.00,
969.00,1,1.00,3,,,,60.00,60.00,14,61.00,,12.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2540.65,5.00,,,5,5,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,40.00,3.00,1.00,1.00
970.00,3,3.00,3,,,,120.00,,14,121.00,,13.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2117.21,5.00,,,4,4,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,40.00,3.00,3.00,1.00
971.00,5,4.00,1,3,4,1,150.00,,14,151.00,,13.00,1,,,3.00,,,6.00,,,,,,,13.00,,,,,,,3,,5,6,,,2540.65,5.00,,,4,4,2,4,11,,,,,,,,,,10.00,4.00,2.00,2.00,60.00,1.00,4.00,1.00
972.00,7,4.00,2,2,1,4,60.00,60.00,14,61.00,,12.00,1,1.00,2.00,3.00,,,,,,,,,,,,,,,1,2,3,,,,,,1863.14,4.00,,,4,5,2,3,,,,,,,,,,,10.00,4.00,2.00,2.00,40.00,2.00,4.00,1.00
973.00,4,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1524.39,4.00,49.17,1.00,4,4,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,50.00,3.00,4.00,1.00
