IDX,Q1,RQ1,Q2_1,Q2_2A1,Q2_2A2,Q2_2A3,Q3A1,MQ3A1_60,RQ3A1,Q3A2,MQ3A2_61,RQ3A2,Q3B,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4K01,Q4K02,Q4K03,Q4K04,Q4K05,Q4K06,Q4K07,Q4K08,MQ5_1T,CQ5_1T,DAY평균,RDAY평균,Q6,Q6_1,Q7A01,Q7A02,Q7A03,Q7A04,Q7A05,Q7A06,Q7A07,Q7A08,Q7A09,Q7A10,Q7A11,Q7A12,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_ENT
1.00,1,1.00,3,,,,89.00,,14,90.00,,12.00,,,,,,5.00,6.00,,,,,,,,,,,,,,,,5,,,,2405.89,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,50.00,3.00,1.00,
2.00,3,3.00,2,13,,,89.00,,14,90.00,,12.00,,,,,,5.00,,,,,,,,,,,,,,,,,5,,,,2165.30,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,60.00,2.00,3.00,
3.00,2,2.00,2,13,,,7.00,7.00,7,8.00,8.00,8.00,,1.00,2.00,,,,,,,,,,,,,,16.00,,1,2,,,,,7,,1000.00,2.00,125.00,2.00,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,40.00,2.00,2.00,
4.00,3,3.00,1,6,1,,270.00,,14,271.00,,13.00,,1.00,,3.00,,,,,,9.00,,,,13.00,,,,17.00,1,,3,,,6,,8,2733.25,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,1.00,3.00,
5.00,1,1.00,4,,,,240.00,,14,241.00,,13.00,,1.00,,,,,,,,9.00,,,,,,,,,1,,,,,6,,,8199.75,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,4.00,1.00,
6.00,3,3.00,1,13,,,45.00,45.00,13,46.00,46.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2186.60,5.00,47.53,1.00,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,1.00,3.00,
7.00,1,1.00,2,13,,,92.00,,14,93.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,15.00,2.00,1.00,
8.00,5,4.00,3,,,,2.00,2.00,2,3.00,3.00,3.00,,,,3.00,,,,,,,,,,,,,,,,,3,,,,,,382.66,1.00,127.55,2.00,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,30.00,3.00,4.00,
9.00,5,4.00,2,13,2,,90.00,,14,91.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1202.94,3.00,,,4,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,2.00,4.00,
10.00,30,4.00,2,13,,,11.00,11.00,11,12.00,12.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,7000.00,6.00,583.33,6.00,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,40.00,2.00,4.00,
11.00,28,4.00,4,,,,69.00,,14,70.00,,12.00,,,,3.00,,,,,,,,,,,,,,,,,3,,,,,,8019.63,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,60.00,4.00,4.00,
12.00,3,3.00,1,4,3,,119.00,,14,120.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3207.85,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,1.00,3.00,
13.00,1,1.00,3,,,,69.00,,14,70.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,30.00,3.00,1.00,
14.00,1,1.00,2,4,7,9,89.00,,14,90.00,,12.00,,1.00,2.00,3.00,,,,,,,,,,,,,,,1,2,3,,,,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,30.00,2.00,1.00,
15.00,4,4.00,4,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,4.00,
16.00,20,4.00,3,,,,364.00,,14,365.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,3.00,4.00,
17.00,1,1.00,4,,,,120.00,,14,121.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3061.24,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,4.00,1.00,
18.00,2,2.00,4,,,,150.00,,14,151.00,,13.00,,1.00,,3.00,,,,,,,,,,13.00,,,,17.00,1,,3,,,6,,8,8746.40,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,13.00,1.00,20.00,4.00,2.00,
19.00,1,1.00,3,,,,50.00,50.00,13,51.00,51.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4373.20,6.00,85.75,1.00,4,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,30.00,3.00,1.00,
20.00,2,2.00,1,1,2,,120.00,,14,121.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4591.86,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,1.00,2.00,
21.00,20,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,,,,,,,,7.00,,,,,,,,,,,,,,,5,,,,3207.85,6.00,103.48,2.00,5,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,30.00,3.00,4.00,
22.00,5,4.00,2,13,,,19.00,19.00,11,20.00,20.00,11.00,,,,,,5.00,,7.00,,,,,,,,,,,,,,,5,,,,2000.00,4.00,100.00,1.00,2,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,50.00,2.00,4.00,
23.00,2,2.00,2,13,,,60.00,60.00,14,61.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5000.00,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,20.00,2.00,2.00,
24.00,1,1.00,3,,,,10.00,10.00,10,11.00,11.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5200.00,6.00,472.73,5.00,5,,,,,,,,,,,,,,5.00,2.00,10.00,2.00,30.00,3.00,1.00,
25.00,1,1.00,4,,,,68.00,,14,69.00,,12.00,,1.00,,,,,,,,,,,,13.00,,,,17.00,1,,,,,6,,8,4009.82,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,10.00,2.00,20.00,4.00,1.00,
26.00,1,1.00,1,13,1,12,182.00,,14,183.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,6415.71,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,10.00,1.00,15.00,1.00,1.00,
27.00,20,4.00,3,,,,29.00,29.00,12,30.00,30.00,11.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1443.53,3.00,48.12,1.00,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,40.00,3.00,4.00,
28.00,3,3.00,3,,,,60.00,60.00,14,61.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,30.00,3.00,3.00,
29.00,4,4.00,2,13,,,40.00,40.00,13,41.00,41.00,11.00,,,,,,,,,,,,,,,,,16.00,,,,,,,,7,,2004.91,5.00,48.90,1.00,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,60.00,2.00,4.00,
30.00,3,3.00,3,,,,120.00,,14,121.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4811.78,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,50.00,3.00,3.00,
31.00,2,2.00,3,,,,364.00,,14,365.00,,13.00,,,,,,,,,,,,,,13.00,,,,,,,,,,6,,,9623.56,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,30.00,3.00,2.00,
32.00,1,1.00,2,13,2,,75.00,,14,76.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3849.42,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,14.00,1.00,30.00,2.00,1.00,
33.00,10,4.00,4,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,10.00,,,13.00,14.00,15.00,,,1,,,,,6,7,,8019.63,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,4.00,
34.00,5,4.00,4,,,,30.00,30.00,12,31.00,31.00,11.00,,,,,,,6.00,,,,,,,,,,,,,,,,5,,,,6000.00,6.00,193.55,2.00,4,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,50.00,4.00,4.00,
35.00,10,4.00,2,13,,,20.00,20.00,11,21.00,21.00,11.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,795.60,2.00,37.89,1.00,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,30.00,2.00,4.00,
36.00,10,4.00,3,,,,80.00,,14,81.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,7488.00,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,40.00,3.00,4.00,
37.00,10,4.00,3,,,,90.00,,14,91.00,,13.00,,1.00,2.00,3.00,,,,,,,,,,,,,,,1,2,3,,,,,,5148.00,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,30.00,3.00,4.00,
38.00,15,4.00,3,,,,88.00,,14,89.00,,12.00,,,,,,,,,,,,,,13.00,,,,,,,,,,6,,,7000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,60.00,3.00,4.00,
39.00,1,1.00,1,13,,,90.00,,14,91.00,,13.00,,1.00,2.00,3.00,4.00,,,,,,,,,,,,,,1,2,3,4,,,,,1639.95,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,1.00,1.00,
40.00,4,4.00,4,,,,92.00,,14,93.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4009.82,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,20.00,4.00,4.00,
41.00,5,4.00,1,3,4,7,89.00,,14,90.00,,12.00,,1.00,,,,,,,,,,,,13.00,,,,17.00,1,,,,,6,,8,2000.00,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,30.00,1.00,4.00,
42.00,1,1.00,2,13,,,86.00,,14,87.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1300.00,3.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,20.00,2.00,1.00,
43.00,3,3.00,2,13,,,30.00,30.00,12,31.00,31.00,11.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1603.93,4.00,51.74,1.00,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,2.00,3.00,
44.00,3,3.00,2,13,,,62.00,,14,63.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1042.55,3.00,,,4,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,50.00,2.00,3.00,
45.00,9,4.00,4,,,,120.00,,14,121.00,,13.00,,1.00,,,,,6.00,,,,,,,,,,,,1,,,,5,,,,2808.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,20.00,4.00,4.00,
46.00,2,2.00,4,,,,100.00,,14,101.00,,13.00,,1.00,,3.00,,,,,,,,,,,,,,,1,,3,,,,,,2004.91,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,2.00,1.00,20.00,4.00,2.00,
47.00,2,2.00,4,,,,75.00,,14,76.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,2152.80,5.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,2.00,
48.00,2,2.00,2,8,,,35.00,35.00,13,36.00,36.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,7217.67,6.00,200.49,3.00,5,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,50.00,2.00,2.00,
49.00,4,4.00,1,4,7,,89.00,,14,90.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3722.10,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,11.00,2.00,20.00,1.00,4.00,
50.00,1,1.00,3,,,,91.00,,14,92.00,,13.00,,1.00,,,,,,,,,,,,13.00,,,,17.00,1,,,,,6,,8,6000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,30.00,3.00,1.00,
51.00,3,3.00,3,,,,3.00,3.00,3,4.00,4.00,4.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,1200.00,3.00,300.00,3.00,4,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,20.00,3.00,3.00,
52.00,2,2.00,3,,,,62.00,,14,63.00,,12.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,2500.00,5.00,,,4,,,,,,,,,,,,,,5.00,2.00,17.00,2.00,30.00,3.00,2.00,
53.00,1,1.00,1,4,3,1,85.00,,14,86.00,,12.00,,1.00,,,,,,,,,,11.00,,13.00,,,,,1,,,,,6,,,5000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,20.00,1.00,1.00,
54.00,3,3.00,3,,,,1.00,1.00,1,2.00,2.00,2.00,,,,,,,,,,,,,,13.00,,,,,,,,,,6,,,200.00,1.00,100.00,1.00,5,,,,,,,,,,,,,,5.00,2.00,16.00,1.00,40.00,3.00,3.00,
55.00,3,3.00,4,,,,180.00,,14,181.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,4,,,,,,,,,,,,,,5.00,2.00,4.00,2.00,20.00,4.00,3.00,
56.00,5,4.00,3,,,,70.00,,14,71.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1694.40,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,4.00,1.00,30.00,3.00,4.00,
57.00,2,2.00,4,,,,330.00,,14,331.00,,13.00,,1.00,,,4.00,,,,,,,,,,,,16.00,,1,,,4,,,7,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,12.00,1.00,20.00,4.00,2.00,
58.00,10,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,3,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,20.00,3.00,4.00,
59.00,10,4.00,2,13,,,21.00,21.00,12,22.00,22.00,11.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,1202.94,3.00,54.68,1.00,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,40.00,2.00,4.00,
60.00,20,4.00,3,,,,60.00,60.00,14,61.00,,12.00,,,,,,,,,,,,,,13.00,,,,,,,,,,6,,,2995.20,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,60.00,3.00,4.00,
61.00,5,4.00,4,,,,60.00,60.00,14,61.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1310.40,3.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,4.00,
62.00,14,4.00,3,,,,89.00,,14,90.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,2620.80,5.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,30.00,3.00,4.00,
63.00,2,2.00,3,,,,2.00,2.00,2,3.00,3.00,3.00,,1.00,,,,,,,,,,,,13.00,,,,,1,,,,,6,,,2405.89,5.00,801.96,7.00,5,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,30.00,3.00,2.00,
64.00,2,2.00,2,1,3,2,89.00,,14,90.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,2806.87,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,20.00,2.00,2.00,
65.00,10,4.00,3,,,,59.00,59.00,13,60.00,60.00,11.00,,1.00,,3.00,,,,,,,,,,13.00,,,,,1,,3,,,6,,,2808.00,5.00,46.80,1.00,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,3.00,4.00,
66.00,2,2.00,4,,,,240.00,,14,241.00,,13.00,,1.00,,3.00,,,,,,,,,,13.00,,,,,1,,3,,,6,,,3207.85,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,20.00,4.00,2.00,
67.00,2,2.00,4,,,,89.00,,14,90.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1603.93,4.00,,,3,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,30.00,4.00,2.00,
68.00,3,3.00,4,,,,330.00,,14,331.00,,13.00,,1.00,,3.00,,,,,,,,,,,,,,,1,,3,,,,,,3207.85,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,3.00,
69.00,10,4.00,2,13,2,,120.00,,14,121.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,6415.71,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,2.00,1.00,30.00,2.00,4.00,
70.00,4,4.00,4,,,,120.00,,14,121.00,,13.00,,,,,,,,,,,,,,13.00,,,,,,,,,,6,,,3608.83,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,2.00,1.00,20.00,4.00,4.00,
71.00,1,1.00,3,,,,89.00,,14,90.00,,12.00,,,,,,,,7.00,,,,,,,,,,,,,,,5,,,,2967.26,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,2.00,1.00,30.00,3.00,1.00,
72.00,3,3.00,3,,,,24.00,24.00,12,25.00,25.00,11.00,,1.00,,,,,,7.00,,,,,,,,,,,1,,,,5,,,,2824.00,5.00,112.96,2.00,5,,,,,,,,,,,,,,5.00,2.00,4.00,1.00,30.00,3.00,3.00,
73.00,1,1.00,4,,,,90.00,,14,91.00,,13.00,,1.00,,,,,,,,9.00,,,,,,,,,1,,,,,6,,,5466.50,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,20.00,4.00,1.00,
74.00,4,4.00,3,,,,40.00,40.00,13,41.00,41.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1967.94,4.00,48.00,1.00,4,,,,,,,,,,,,,,5.00,2.00,12.00,1.00,20.00,3.00,4.00,
75.00,1,1.00,4,,,,90.00,,14,91.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,5000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,20.00,4.00,1.00,
76.00,3,3.00,3,,,,90.00,,14,91.00,,13.00,,1.00,2.00,,,,,,,,,,,13.00,,,,,1,2,,,,6,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,30.00,3.00,3.00,
77.00,20,4.00,2,13,,,20.00,20.00,11,21.00,21.00,11.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,3000.00,5.00,142.86,2.00,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,30.00,2.00,4.00,
78.00,2,2.00,2,13,,,60.00,60.00,14,61.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3207.85,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,10.00,2.00,40.00,2.00,2.00,
79.00,2,2.00,4,,,,364.00,,14,365.00,,13.00,,,,,,,,,,,,11.00,,,,,,,,,,,,6,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,20.00,4.00,2.00,
80.00,10,4.00,3,,,,80.00,,14,81.00,,12.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,3207.85,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,5.00,2.00,30.00,3.00,4.00,
81.00,1,1.00,3,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,9623.56,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,5.00,1.00,20.00,3.00,1.00,
82.00,1,1.00,3,,,,60.00,60.00,14,61.00,,12.00,,,,,,,,,,,10.00,,,,,,,,,,,,,6,,,2726.67,5.00,,,4,,,,,,,,,,,,,,5.00,2.00,12.00,1.00,30.00,3.00,1.00,
83.00,3,3.00,3,,,,88.00,,14,89.00,,12.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,7000.00,6.00,,,3,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,40.00,3.00,3.00,
84.00,1,1.00,4,,,,150.00,,14,151.00,,13.00,,1.00,,,,,,,,,,,,13.00,,,,17.00,1,,,,,6,,8,6559.80,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,4.00,1.00,
85.00,7,4.00,2,13,,,72.00,,14,73.00,,12.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,2186.60,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,1.00,50.00,2.00,4.00,
86.00,1,1.00,3,,,,92.00,,14,93.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2500.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,30.00,3.00,1.00,
87.00,3,3.00,2,13,,,350.00,,14,351.00,,13.00,,,,,,,,,,,,,,,,,16.00,,,,,,,,7,,1603.93,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,50.00,2.00,3.00,
88.00,1,1.00,1,3,4,,89.00,,14,90.00,,12.00,,1.00,,,,,,,,9.00,,,,13.00,,15.00,16.00,17.00,1,,,,,6,7,8,,98.00,,,4,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,40.00,1.00,1.00,
89.00,1,1.00,4,,,,120.00,,14,121.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2916.80,5.00,,,4,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,20.00,4.00,1.00,
90.00,2,2.00,4,,,,60.00,60.00,14,61.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1872.00,4.00,,,3,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,20.00,4.00,2.00,
91.00,2,2.00,2,2,11,,30.00,30.00,12,31.00,31.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1603.93,4.00,51.74,1.00,5,,,,,,,,,,,,,,5.00,2.00,2.00,1.00,20.00,2.00,2.00,
92.00,6,4.00,2,2,1,,90.00,,14,91.00,,13.00,,,,,,,,,,,,,,,,,16.00,,,,,,,,7,,1603.93,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,20.00,2.00,4.00,
93.00,2,2.00,2,10,8,4,56.00,56.00,13,57.00,57.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5000.00,6.00,87.72,1.00,5,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,20.00,2.00,2.00,
94.00,7,4.00,2,1,3,2,180.00,,14,181.00,,13.00,,1.00,,,,,,,,,10.00,,,13.00,,,,,1,,,,,6,,,1913.76,4.00,,,3,,,,,,,,,,,,,,5.00,2.00,10.00,2.00,30.00,2.00,4.00,
95.00,4,4.00,4,,,,180.00,,14,181.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,5.00,2.00,20.00,4.00,4.00,
96.00,2,2.00,3,,,,180.00,,14,181.00,,13.00,,1.00,,3.00,,,,,,,,,,,,,,,1,,3,,,,,,3608.83,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,5.00,1.00,20.00,3.00,2.00,
97.00,3,3.00,4,,,,90.00,,14,91.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2004.91,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,5.00,1.00,20.00,4.00,3.00,
98.00,2,2.00,2,13,,,59.00,59.00,13,60.00,60.00,11.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,1404.00,3.00,23.40,1.00,5,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,40.00,2.00,2.00,
99.00,6,4.00,1,2,1,13,59.00,59.00,13,60.00,60.00,11.00,,1.00,,3.00,,,,,,,,,,,,,,17.00,1,,3,,,,,8,7020.00,6.00,117.00,2.00,5,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,30.00,1.00,4.00,
100.00,2,2.00,3,,,,19.00,19.00,11,20.00,20.00,11.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,1603.93,4.00,80.20,1.00,4,,,,,,,,,,,,,,5.00,2.00,6.00,1.00,30.00,3.00,2.00,
101.00,1,1.00,3,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,11.00,,,,,,,1,,,,,6,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,30.00,3.00,1.00,
102.00,3,3.00,2,13,2,,89.00,,14,90.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2000.00,4.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,50.00,2.00,3.00,
103.00,1,1.00,3,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,1.00,40.00,3.00,1.00,
104.00,5,4.00,3,,,,89.00,,14,90.00,,12.00,,1.00,,3.00,,,,,,,,,,13.00,,,,17.00,1,,3,,,6,,8,10000.00,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,30.00,3.00,4.00,
105.00,3,3.00,2,13,,,58.00,58.00,13,59.00,59.00,11.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1800.00,4.00,30.51,1.00,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,20.00,2.00,3.00,
106.00,10,4.00,3,,,,92.00,,14,93.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,7488.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,50.00,3.00,4.00,
107.00,7,4.00,3,,,,60.00,60.00,14,61.00,,12.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,7675.20,6.00,,,3,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,30.00,3.00,4.00,
108.00,20,4.00,2,13,,,90.00,,14,91.00,,13.00,,1.00,,,,,,7.00,,,,,,,,,,,1,,,,5,,,,2806.87,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,50.00,2.00,4.00,
109.00,10,4.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,,1.00,,,,,,,,,,,,13.00,,,,,1,,,,,6,,,1764.32,4.00,56.91,1.00,4,,,,,,,,,,,,,,5.00,2.00,1.00,1.00,60.00,3.00,4.00,
110.00,6,4.00,4,,,,180.00,,14,181.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4009.82,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,4.00,
111.00,8,4.00,2,13,,,48.00,48.00,13,49.00,49.00,11.00,,,,,4.00,,,,,,,,,,,,,,,,,4,,,,,1684.80,4.00,34.38,1.00,4,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,40.00,2.00,4.00,
