pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a99,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R1일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인MIS,총액1인TOT2,총액1인MIS_개별국제교통비제외,총액1인TOT항공제외2,C총액1인MIS,C총액1인TOT2,C총액1인MIS_개별국제교통비제외,C총액1인TOT항공제외2,MDAY전체,MDAY전체TOT_RAW2,MDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외,MDAY전체TOT_RAW61항공제외2,RDAY전체,RDAY전체TOT_RAW2,RDAY전체TOT_RAW61,RDAY전체_개별국제교통비제외,RDAY전체TOT_RAW61항공제외2,MDAY개별대체,MDAY에어대체,MDAY단체대체,MDAY개별61대체,MDAY에어61대체,MDAY단체61대체,MDAY개별61항공제외대체,MDAY에어61항공제외대체,MDAY단체61항공제외대체,RDAY개별대체,RDAY에어대체,RDAY단체대체,RDAY개별61대체,RDAY에어61대체,RDAY단체61대체,RDAY개별61항공제외대체,RDAY에어61항공제외대체,RDAY단체61항공제외대체,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q13,Q14,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight
2068.0,1.00,1.00,,1,1,4,6,8,,,,15,,,,1,4,3,6,3,8,1,6,3,,1,7,,,,,11,3,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,,,,,,,,,,,,,,,,,,1,2,,28501.0,,,,,,,3,,,,,,,,,,,,,,,,,3.00,,,,,,1.00,,,1.00,,1.00,2.00,2.00,1.00,,,1.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,1.00,,,,,,,,1124.54,1124.54,165.92,165.91,2.00,2.00,1.00,1.00,562.27,562.27,562.27,82.96,82.96,5.00,5.00,5.00,2.00,2.00,562.27,,,562.27,,,82.96,,,5.00,,,5.00,,,2.00,,,0.00,0.00,55.31,29.50,0.00,0.00,958.62,0.00,0.00,0.00,0.00,7.37,0.00,0.00,0.00,0.00,0.00,73.74,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,,2,,,,,,,,,,,13,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,5,7,,5,5,5,,,,,,,,,,,,,,4,4,5,5,4,5,5,5,4,5,,5,5,1.00,1.00,14.00,1.00,5.00,1.00,1.00,1.00,382.80
2070.0,3.00,3.00,5.00,1,1,2,10,4,1,,,,2,,,15,1,2,6,2,3,1,4,,,9,10,4,2,3,,,6,1,,,,,,,8,9,10,,2.00,,2,,,,6,,,4.00,3.00,0.00,4.00,3.00,3.00,3.00,0.00,3.00,3.00,1,2,,4,,6,,,,,,,,,15,,,,,15,1,2,42008.0,,,,,1,,,4,,,,,,,,,,,,,,1.00,,,4.00,,,,,,,3.00,1.00,2.00,6.00,7.00,7.00,2.00,2.00,,,4.00,,,,,,,,,,,,,,3.00,,,5.00,,,,,,,,,,,,,,2.00,,,4.00,,,,,,,,,,,,,,3.00,,,5.00,,,,,,,,,,,,,,1.00,,3.00,,,,,,,2.00,,4.00,,,,,,2.00,,4.00,,,,,,743.24,743.24,501.08,501.08,1.00,1.00,1.00,1.00,106.18,106.18,106.18,71.58,71.58,3.00,3.00,3.00,2.00,2.00,106.18,,,106.18,,,71.58,,,3.00,,,3.00,,,2.00,,,0.00,7.45,149.02,93.14,27.94,0.00,242.16,0.00,0.00,0.00,0.00,0.00,18.63,0.00,0.00,0.00,93.14,93.14,0.00,0.00,0.00,18.63,1.00,1.00,3.00,3.00,2.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,2.00,1,,3,,,,,,,,,,,60.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,5,5,5,,3,,5,,,,,,,,,5,5,4,5,5,5,5,5,5,5,5,4,5,5,1.00,1.00,10.00,1.00,4.00,1.00,3.00,1.00,131.31
2071.0,2.00,2.00,5.00,1,1,2,4,5,7,1,6,,4,5,2,2,4,7,6,5,3,4,1,6,,5,4,6,,,,11,4,1,,,4,,6,,,,,,2.00,,,,,5,,,,7.00,6.00,0.00,7.00,6.00,3.00,3.00,0.00,3.00,3.00,1,2,3,4,5,,7,8,,10,11,,,,,,,,,2,7,4,42001.0,,,,,1,2,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,0.00,,,,,,,,,,,,,,,,5.00,1.00,,,,,,,,,,,,,,,,4.00,0.00,,,,,,,,,,,,,,,,5.00,1.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,1452.95,1452.95,856.87,856.87,2.00,2.00,1.00,1.00,290.59,290.59,290.59,171.37,171.37,3.00,3.00,3.00,3.00,3.00,290.59,,,290.59,,,171.37,,,3.00,,,3.00,,,3.00,,,67.06,52.16,119.22,298.04,0.00,0.00,596.08,0.00,0.00,0.00,0.00,0.00,22.35,0.00,0.00,0.00,0.00,298.04,0.00,0.00,0.00,0.00,1.00,1.00,3.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,,3,4,,,,,,,11,,,20.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,5,3,6,5,5,5,5,5,5,,5,5,,5,5,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1.00,1.00,10.00,2.00,2.00,1.00,2.00,1.00,92.40
2072.0,1.00,1.00,,1,1,1,11,4,1,3,6,,4,7,9,1,4,2,3,5,6,4,3,1,,7,5,4,10,7,4,,6,,,,4,,,,8,,,,2.00,,2,,,,,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,,,,6,,,,,,,,,,,,,19,2,6,1,11002.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,6.00,7.00,7.00,2.00,6.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,6.00,,,,,,,,6.00,,,,,,,,2607.85,2607.85,1937.26,1937.26,3.00,3.00,2.00,2.00,372.55,372.55,372.55,276.75,276.75,4.00,4.00,4.00,3.00,3.00,372.55,,,372.55,,,276.75,,,4.00,,,4.00,,,3.00,,,0.00,0.00,372.55,745.10,0.00,670.59,0.00,0.00,0.00,0.00,0.00,74.51,0.00,0.00,0.00,74.51,0.00,670.59,0.00,0.00,0.00,0.00,1.00,1.00,4.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,1.00,4.00,1.00,1.00,1.00,1.00,,2,3,,,6,7,,,,,,,0.00,20.00,30.00,0.00,0.00,10.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,7,3,5,5,5,4,,,,4,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,4,4,1.00,1.00,10.00,1.00,3.00,1.00,1.00,1.00,111.48
2073.0,1.00,1.00,,1,1,7,8,5,,,,15,,,,7,5,2,9,1,10,1,4,3,,1,5,6,6,3,2,,6,,,,,,6,7,,9,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,,2,3,4,,6,7,8,9,,11,12,,,,,,,,8,3,2,11022.0,,,,,1,2,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,1.00,,,1.00,,28.00,29.00,29.00,4.00,28.00,0.00,,,,,,,,,,,,,,,,29.00,1.00,,,,,,,,,,,,,,,,28.00,0.00,,,,,,,,,,,,,,,,29.00,1.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,28.00,,,,,,,,28.00,,,,,8280.00,8280.00,6780.00,6780.00,5.00,5.00,5.00,5.00,285.52,285.52,285.52,233.79,233.79,3.00,3.00,3.00,3.00,3.00,285.52,,,285.52,,,233.79,,,3.00,,,3.00,,,3.00,,,80.00,0.00,2000.00,600.00,400.00,0.00,1500.00,0.00,0.00,0.00,0.00,50.00,300.00,0.00,0.00,150.00,0.00,3000.00,100.00,0.00,100.00,0.00,1.00,1.00,5.00,4.00,4.00,1.00,5.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,1.00,4.00,1.00,4.00,3.00,1.00,3.00,1.00,,2,3,,,6,,,,,11,,,0.00,5.00,20.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,6,4,5,4,,5,5,5,,5,5,3,4,,4,4,,,,5,4,5,5,5,5,5,9,5,9,4,5,5,1.00,1.00,15.00,2.00,2.00,1.00,1.00,1.00,122.61
2075.0,2.00,2.00,5.00,1,2,2,8,11,,,,15,,,,5,8,6,3,5,6,7,1,4,,1,6,7,9,6,,,5,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,3,4,5,6,,8,,10,11,12,13,,15,,,,,1,6,3,11051.0,,,,,1,2,3,4,,,,,,,,,,,,,,1.00,2.00,3.00,4.00,,,,,,,3.00,1.00,2.00,67.00,68.00,,12.00,60.00,6.00,0.00,1.00,,,,,,,,,,,,,,60.00,7.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,4.00,,,7.00,,,1.00,,,60.00,,,6.00,,,,,,,,,,4850.00,4850.00,2850.00,2850.00,4.00,4.00,3.00,3.00,,71.32,,,,,2.00,,,,71.32,,,,,,,,,2.00,,,,,,,,,0.00,0.00,1000.00,500.00,500.00,0.00,2000.00,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00,100.00,100.00,500.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,4.00,1.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1,,3,,,,,,,,,,,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,4,5,4,5,4,5,4,,4,,3,4,4,3,,4,5,4,5,5,3,4,3,9,4,9,,5,5,1.00,1.00,14.00,1.00,2.00,2.00,2.00,1.00,76.28
2077.0,3.00,3.00,5.00,1,1,2,7,8,1,3,6,,2,4,8,11,1,3,3,5,1,1,4,3,,12,,,3,5,4,,6,1,,,,5,,,,,,,2.00,,,3,4,,,,,9.00,8.00,2.00,7.00,6.00,3.00,3.00,2.00,3.00,3.00,1,,3,4,,,,,,,11,,,,,,,,,1,4,3,50500.0,,,,,1,,,,,,,,,,,,,,,,17,1.00,,,,,,,8.00,,,3.00,1.00,2.00,8.00,9.00,9.00,3.00,3.00,,,,,,,,,,,,,,,,5.00,4.00,,,,,,,,,,,,,,,,6.00,3.00,,,,,,,,,,,,,,,,5.00,4.00,,,,,,,,,,,,,,,,6.00,1.00,,,4.00,,,,,,3.00,,,5.00,,,,,3.00,,,5.00,,,,,2309.81,2309.81,1788.24,1788.24,3.00,3.00,2.00,2.00,256.65,256.65,256.65,198.69,198.69,3.00,3.00,3.00,3.00,3.00,256.65,,,256.65,,,198.69,,,3.00,,,3.00,,,3.00,,,0.00,0.00,372.55,372.55,0.00,0.00,521.57,0.00,74.51,0.00,0.00,0.00,0.00,223.53,0.00,0.00,0.00,745.10,0.00,0.00,0.00,0.00,1.00,1.00,4.00,4.00,1.00,1.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,,2,3,4,,,7,8,,,,,,0.00,50.00,20.00,5.00,0.00,0.00,20.00,5.00,0.00,0.00,0.00,0.00,0.00,4,7,6,4,4,,4,4,,,,,,,4,,,,,4,3,4,4,4,3,3,3,4,4,,3,4,1.00,1.00,10.00,1.00,2.00,1.00,3.00,1.00,86.48
2078.0,1.00,1.00,,1,3,,,,1,5,10,,2,,,,,,,,,1,3,,,1,3,5,6,7,9,,3,1,,,,,,,,,,,2.00,,,,,,,,8,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,,,,4,5,,,,,,,,,,,,17,,,4,5,17,11012.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,1493.30,1493.30,260.30,260.30,2.00,2.00,1.00,1.00,298.66,298.66,298.66,52.06,52.06,3.00,3.00,3.00,2.00,2.00,298.66,,,298.66,,,52.06,,,3.00,,,3.00,,,2.00,,,0.00,0.00,13.70,0.00,0.00,0.00,1233.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.60,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,2,,,,,,,,10,,,,70.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,4,3,,4,,,,5,5,,,,,,,,,,,4,3,3,3,4,4,3,3,2,3,,3,4,1.00,1.00,11.00,1.00,3.00,3.00,1.00,1.00,256.77
2079.0,4.00,4.00,5.00,1,1,2,4,10,1,2,,,2,4,8,10,6,1,9,3,6,1,3,,,3,5,9,8,9,7,,3,1,,,,,,,,,,,2.00,,2,,,,,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,,2,3,,,6,,,,,,,,,,,,,,3,6,2,11513.0,11019.0,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,5.00,6.00,6.00,2.00,5.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,5.00,,,,,,,,5.00,,,,,,,,1000.00,1000.00,1000.00,1000.00,1.00,1.00,1.00,1.00,166.67,166.67,166.67,166.67,166.67,3.00,3.00,3.00,3.00,3.00,166.67,,,166.67,,,166.67,,,3.00,,,3.00,,,3.00,,,0.00,0.00,750.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,,4,4,,,4,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,5,5,1.00,1.00,10.00,2.00,4.00,1.00,4.00,1.00,120.06
2080.0,20.00,4.00,5.00,1,2,3,9,7,6,1,10,,10,6,4,1,13,3,7,3,5,1,3,6,,1,6,11,8,2,7,,6,1,,,4,5,6,,8,9,,,2.00,,,3,,,,,,3.00,2.00,0.00,3.00,2.00,3.00,2.00,0.00,3.00,2.00,1,2,3,4,,,,,,,,,13,,,,,,,1,13,3,48505.0,,,,,1,,,,,,,,,,,,13,,,16,,1.00,,,,,6.00,7.00,,,,3.00,1.00,2.00,8.00,9.00,9.00,3.00,3.00,,,,,,,,,,,,2.00,,,3.00,,4.00,,,,,,,,,,,,3.00,,,4.00,,3.00,,,,,,,,,,,,2.00,,,3.00,,4.00,,,,,,,,,,,,3.00,,,4.00,,1.00,,,,,,7.00,,,5.00,,,,,,3.00,,5.00,,,,,,3.00,,3601.32,3601.32,3203.93,3203.93,4.00,4.00,4.00,4.00,400.15,400.15,400.15,355.99,355.99,4.00,4.00,4.00,4.00,4.00,400.15,,,400.15,,,355.99,,,4.00,,,4.00,,,4.00,,,74.51,0.00,496.73,496.73,0.00,0.00,397.39,0.00,0.00,0.00,149.02,0.00,248.37,0.00,0.00,0.00,0.00,1241.83,0.00,248.37,0.00,248.37,1.00,1.00,4.00,4.00,1.00,1.00,4.00,1.00,1.00,1.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,4.00,1.00,4.00,1.00,4.00,1,2,3,4,5,,7,8,,,,12,,25.00,10.00,10.00,20.00,10.00,0.00,10.00,5.00,0.00,0.00,0.00,10.00,0.00,6,5,,4,5,5,5,5,,,,,,,,,4,,,4,4,4,4,5,5,2,5,2,3,3,4,5,1.00,1.00,10.00,2.00,5.00,2.00,4.00,1.00,133.97
2083.0,15.00,4.00,5.00,1,1,2,3,5,,,,15,,,,15,4,6,5,4,2,,,,9,,,,,,,11,4,1,,,,,,,,,,,2.00,,,3,,5,,,,5.00,4.00,1.00,4.00,3.00,3.00,3.00,1.00,3.00,3.00,,2,3,,,,,,,,11,,,,,,,,,11,3,2,11500.0,,,,,1,,,,5,,,,,,,,,,,,,1.00,,,,5.00,,,,,,3.00,1.00,2.00,21.00,22.00,22.00,4.00,0.00,,,,21.00,,,,,,,,,,,,,1.00,,,,22.00,,,,,,,,,,,,,0.00,,,,21.00,,,,,,,,,,,,,1.00,,,,22.00,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,21.00,,,,,,,,21.00,,1560.00,1560.00,560.00,560.00,2.00,2.00,1.00,1.00,70.91,70.91,70.91,25.45,25.45,2.00,2.00,2.00,1.00,1.00,70.91,,,70.91,,,25.45,,,2.00,,,2.00,,,1.00,,,0.00,0.00,0.00,300.00,100.00,0.00,1000.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,4.00,3.00,1.00,5.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,,2,,,,,,,,,,,,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,,,5,,4,5,,,,,,,,4,,,,,3,4,4,3,3,3,4,3,4,3,,5,5,1.00,1.00,15.00,1.00,1.00,1.00,4.00,1.00,137.87
2084.0,2.00,2.00,5.00,1,1,7,8,4,4,1,,,2,,,8,4,3,5,7,6,1,,,,2,1,,8,,,,4,1,,,,,,,,,,,2.00,,2,,4,,,,,4.00,3.00,0.00,4.00,3.00,3.00,3.00,0.00,3.00,3.00,,,3,4,,6,7,,,,,,,,,,,,,3,4,6,50500.0,,,,,1,,,,,,,,,,,,,,,,17,1.00,,,,,,,8.00,,,3.00,1.00,2.00,34.00,35.00,35.00,5.00,30.00,,,,,,,,,,,,,,,,4.00,31.00,,,,,,,,,,,,,,,,5.00,30.00,,,,,,,,,,,,,,,,4.00,31.00,,,,,,,,,,,,,,,,5.00,1.00,,,,,,,,,34.00,,,,,,,,34.00,,,,,,,,1837.91,1837.91,1092.81,1092.81,2.00,2.00,2.00,2.00,52.51,52.51,52.51,31.22,31.22,2.00,2.00,2.00,1.00,1.00,52.51,,,52.51,,,31.22,,,2.00,,,2.00,,,1.00,,,0.00,0.00,794.77,248.37,0.00,0.00,745.10,0.00,0.00,0.00,0.00,49.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,4,,,4,3,,3,3,,,,,,,,,3,2,3,3,3,3,3,3,3,3,,4,4,1.00,1.00,10.00,2.00,5.00,1.00,2.00,1.00,133.97
2087.0,1.00,1.00,,1,1,8,,,,,,15,,,,3,,,10,3,6,4,,,,,,,,,,11,6,,,,,,,,,,99,99,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,,3,,,,,8,,,,,,,,,,,,3,1,8,11003.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,45.00,46.00,46.00,5.00,45.00,,,,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,45.00,,,,,,,,45.00,,2167.50,2167.50,1734.00,1734.00,3.00,3.00,2.00,2.00,47.12,47.12,47.12,37.70,37.70,1.00,1.00,1.00,1.00,1.00,47.12,,,47.12,,,37.70,,,1.00,,,1.00,,,1.00,,,0.00,0.00,0.00,289.00,0.00,433.50,0.00,0.00,0.00,0.00,144.50,0.00,0.00,0.00,0.00,0.00,0.00,1300.50,0.00,0.00,0.00,0.00,1.00,1.00,1.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,,2,,,,,,,,,,,,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,1,,5,5,,5,,,,,5,,,,,,,,5,5,5,5,5,5,5,9,9,9,,5,5,1.00,1.00,6.00,2.00,2.00,1.00,1.00,1.00,204.34
2088.0,9.00,4.00,5.00,1,2,2,9,10,5,3,1,,2,,,1,11,,9,3,7,4,3,1,,7,6,5,2,,,,4,,,,,,6,,,,,,2.00,,,,4,,,,,3.00,2.00,2.00,1.00,0.00,3.00,2.00,2.00,1.00,0.00,1,2,3,,,6,,8,,10,,,,,,,,,,10,2,1,41001.0,,,,,1,2,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,1.00,,,1.00,,28.00,29.00,29.00,4.00,7.00,21.00,,,,,,,,,,,,,,,,8.00,22.00,,,,,,,,,,,,,,,,7.00,21.00,,,,,,,,,,,,,,,,8.00,22.00,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,28.00,,,,,,,,28.00,,3465.96,3465.96,1427.16,1427.16,4.00,4.00,2.00,2.00,119.52,119.52,119.52,49.21,49.21,3.00,3.00,3.00,1.00,1.00,119.52,,,119.52,,,49.21,,,3.00,,,3.00,,,1.00,,,0.00,0.00,0.00,679.60,45.31,2038.80,0.00,0.00,0.00,0.00,0.00,0.00,113.27,0.00,0.00,113.27,0.00,453.07,22.65,0.00,0.00,0.00,1.00,1.00,1.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,4.00,1.00,4.00,2.00,1.00,1.00,1.00,1,2,3,,,,,,,,,12,,30.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,6,3,7,4,5,4,4,,,4,,4,,4,,,,,,3,4,3,3,3,4,2,2,4,2,,5,5,1.00,1.00,15.00,2.00,4.00,2.00,4.00,1.00,152.81
