ID,D_AGE,AGE_NAME,IS_HALLYU,IS_FIT,IS_FAMILY,IS_SOLO,TOTAL_SPEND
4529,3.00,30대,0,1,0,0,5
4530,4.00,40대,0,1,0,0,5
4531,3.00,30대,0,1,0,1,5
4532,5.00,50대,0,1,0,0,5
4533,3.00,30대,1,1,1,0,5
4534,3.00,30대,0,1,0,0,4
4535,3.00,30대,1,1,0,0,3
4536,2.00,20대,0,1,0,0,5
4537,5.00,50대,1,1,0,0,5
4538,2.00,20대,1,1,0,0,5
4539,3.00,30대,1,1,0,0,5
4540,3.00,30대,1,1,0,0,5
4541,3.00,30대,1,1,0,0,5
4542,3.00,30대,0,1,0,0,5
4543,4.00,40대,1,1,0,0,3
4544,3.00,30대,0,1,0,0,5
4545,4.00,40대,1,1,0,1,5
4546,3.00,30대,0,0,0,0,5
4547,2.00,20대,1,1,0,0,4
4548,2.00,20대,1,1,0,0,4
4549,5.00,50대,0,1,0,0,5
4550,2.00,20대,0,1,0,0,5
4551,3.00,30대,0,1,0,0,4
4552,3.00,30대,1,1,0,0,5
4553,4.00,40대,0,1,1,0,4
4554,3.00,30대,1,1,1,0,4
4555,3.00,30대,1,0,0,0,5
4556,6.00,60대이상,0,1,0,0,5
4557,6.00,60대이상,1,1,0,0,5
4558,4.00,40대,1,1,0,0,4
4559,2.00,20대,1,1,0,1,5
4560,3.00,30대,1,1,0,0,4
4561,4.00,40대,1,1,0,0,4
4562,3.00,30대,0,1,0,0,5
4563,2.00,20대,0,1,0,0,5
4564,3.00,30대,0,1,1,0,5
4565,2.00,20대,1,1,1,0,5
4566,4.00,40대,1,1,0,0,5
4567,3.00,30대,1,1,0,0,5
4568,2.00,20대,0,0,1,0,5
4569,3.00,30대,1,1,0,0,5
4570,5.00,50대,1,1,0,0,5
4571,3.00,30대,1,1,0,0,5
4572,2.00,20대,0,1,0,0,5
4573,4.00,40대,0,1,0,0,5
4574,1.00,10대,0,1,0,0,5
4575,2.00,20대,1,1,0,1,5
4576,3.00,30대,1,1,0,0,4
4577,5.00,50대,0,1,0,0,4
4578,4.00,40대,0,1,0,0,4
4579,6.00,60대이상,1,1,0,0,5
4580,2.00,20대,1,1,1,0,5
4581,3.00,30대,1,1,0,0,5
4582,2.00,20대,0,1,1,0,5
4583,2.00,20대,0,1,1,0,5
4584,3.00,30대,0,1,0,0,4
4585,2.00,20대,0,1,0,0,5
4586,4.00,40대,0,1,0,0,4
4587,5.00,50대,1,1,0,0,4
4588,2.00,20대,1,1,1,0,5
4589,2.00,20대,1,1,0,1,5
4590,5.00,50대,0,1,0,0,5
4591,2.00,20대,1,1,0,0,5
4592,2.00,20대,1,1,0,1,5
4593,3.00,30대,1,1,0,1,5
4594,3.00,30대,0,1,0,0,4
4595,3.00,30대,0,1,0,0,5
4596,3.00,30대,1,1,0,0,4
4597,5.00,50대,0,1,0,0,5
4598,3.00,30대,0,1,0,1,4
4599,2.00,20대,1,1,1,0,5
4600,1.00,10대,1,1,0,1,5
4601,4.00,40대,1,1,0,0,4
4602,5.00,50대,1,1,0,0,5
4603,4.00,40대,0,1,0,0,5
4604,5.00,50대,1,1,0,1,5
4605,3.00,30대,0,1,0,1,5
4606,3.00,30대,1,1,1,0,5
4607,2.00,20대,1,1,0,1,4
4608,5.00,50대,0,0,0,0,5
4609,2.00,20대,1,1,0,0,5
4610,6.00,60대이상,1,1,0,0,5
4611,5.00,50대,1,1,0,0,5
4612,4.00,40대,0,0,0,1,5
4613,5.00,50대,1,1,0,0,5
4614,2.00,20대,1,1,0,0,5
4615,3.00,30대,0,0,0,0,5
4616,5.00,50대,0,1,0,0,5
4617,2.00,20대,0,1,0,0,5
4618,2.00,20대,1,1,0,0,5
4619,2.00,20대,0,1,1,0,5
4620,2.00,20대,0,1,1,0,5
4621,1.00,10대,0,1,0,0,5
4622,2.00,20대,1,1,0,0,4
4623,4.00,40대,1,1,0,0,5
4624,2.00,20대,1,1,1,0,5
4625,4.00,40대,1,1,0,0,4
4626,5.00,50대,0,1,0,0,4
4627,2.00,20대,1,1,0,0,5
4628,3.00,30대,1,1,0,0,4
4629,4.00,40대,1,0,0,0,5
4630,4.00,40대,1,0,0,0,5
4631,4.00,40대,0,0,0,1,5
4632,3.00,30대,0,0,0,0,5
4633,1.00,10대,1,0,0,0,5
4634,6.00,60대이상,1,1,0,0,4
4635,5.00,50대,0,1,0,0,4
4636,2.00,20대,0,1,0,0,5
4637,4.00,40대,0,1,0,0,5
4638,2.00,20대,0,1,0,0,5
4639,2.00,20대,1,1,0,0,5
4640,1.00,10대,0,1,0,0,5
4641,2.00,20대,0,1,1,0,5
4642,2.00,20대,1,1,0,0,5
4643,3.00,30대,0,1,0,0,5
4644,3.00,30대,0,1,0,1,5
4645,2.00,20대,0,1,0,0,5
4646,5.00,50대,1,1,0,0,5
4647,1.00,10대,0,1,0,0,4
4648,3.00,30대,0,1,1,0,3
4649,1.00,10대,0,1,0,1,5
4650,3.00,30대,0,1,0,0,5
4651,3.00,30대,1,1,0,1,5
4652,2.00,20대,1,1,0,0,5
4653,3.00,30대,1,1,0,0,4
4654,6.00,60대이상,1,1,0,0,5
4655,2.00,20대,1,1,0,0,5
4656,3.00,30대,1,1,0,0,5
4657,2.00,20대,1,1,0,1,5
4658,6.00,60대이상,1,1,1,0,4
4659,4.00,40대,1,1,0,0,5
4660,4.00,40대,1,1,1,0,5
4661,2.00,20대,1,1,0,0,5
4662,1.00,10대,0,1,0,0,5
4663,2.00,20대,0,1,1,0,5
4664,5.00,50대,0,1,0,0,4
4665,3.00,30대,1,1,0,0,5
4666,5.00,50대,1,1,0,0,5
4667,5.00,50대,0,1,0,0,4
4668,2.00,20대,1,1,0,0,5
4669,3.00,30대,1,1,1,0,5
4670,1.00,10대,1,1,0,0,5
4671,3.00,30대,1,0,0,0,4
4672,3.00,30대,0,1,0,0,5
4673,3.00,30대,1,1,0,1,5
4674,5.00,50대,0,1,0,0,5
4675,4.00,40대,0,1,0,0,5
4676,4.00,40대,1,1,0,0,5
4677,4.00,40대,0,1,0,0,5
4678,2.00,20대,1,0,0,0,5
4679,4.00,40대,1,0,0,0,5
4680,2.00,20대,1,0,0,0,5
4681,1.00,10대,1,1,0,0,5
4682,6.00,60대이상,1,1,0,0,5
4683,6.00,60대이상,0,1,0,0,5
4684,2.00,20대,0,1,0,0,5
4685,4.00,40대,1,1,0,0,5
4686,5.00,50대,0,1,1,0,5
4687,4.00,40대,1,1,0,0,5
4688,4.00,40대,1,1,1,0,5
4689,3.00,30대,1,1,1,0,5
4690,2.00,20대,1,1,0,0,5
4691,2.00,20대,0,1,0,0,4
4692,3.00,30대,1,1,1,0,5
4693,2.00,20대,1,1,0,0,5
4694,4.00,40대,1,1,1,0,5
4695,2.00,20대,0,0,0,0,5
4696,4.00,40대,0,1,0,0,5
4697,2.00,20대,1,1,0,1,5
4698,4.00,40대,1,1,0,0,4
4699,1.00,10대,0,1,0,0,5
4700,5.00,50대,1,1,0,0,5
4701,3.00,30대,0,0,0,0,5
4702,1.00,10대,0,0,0,0,5
4703,3.00,30대,0,1,0,0,5
4704,5.00,50대,1,1,0,0,5
