ID,D_AGE,AGE_NAME,IS_HALLYU,IS_FIT,IS_FAMILY,IS_SOLO,TOTAL_SPEND
5058,5.00,50대,1,1,0,0,5
5059,3.00,30대,0,1,0,0,5
5060,2.00,20대,1,1,0,0,5
5061,2.00,20대,1,1,0,0,5
5062,3.00,30대,1,1,0,0,5
5063,4.00,40대,1,1,0,0,4
5064,6.00,60대이상,0,1,0,0,4
5065,2.00,20대,1,1,0,0,4
5066,3.00,30대,0,1,0,0,5
5067,3.00,30대,1,1,0,0,5
5068,5.00,50대,0,1,0,0,4
5069,4.00,40대,1,1,0,0,4
5070,4.00,40대,1,1,0,0,5
5071,3.00,30대,1,1,0,0,4
5072,3.00,30대,1,1,1,0,3
5073,3.00,30대,1,1,0,1,5
5074,2.00,20대,1,1,0,0,4
5075,2.00,20대,1,1,0,1,5
5076,3.00,30대,1,1,0,1,4
5077,4.00,40대,0,1,0,0,5
5078,4.00,40대,1,1,0,0,3
5079,5.00,50대,1,1,0,0,5
5080,3.00,30대,0,1,1,0,5
5081,6.00,60대이상,1,1,0,0,5
5082,3.00,30대,0,1,1,0,4
