YEAR,ID,WEIGHT,D_NAT,D_SEX,D_AGE,AGE_GROUP_NAME,YOUNG_GEN,TYP,IS_HALLYU,TOTAL_SPEND
2019,904013,1.3659,1.00,1,6,60대이상,0,4,0,526.34
2019,904018,1.4870,1.00,1,4,40대,0,1,0,357.16
2019,904046,1.4870,1.00,1,4,40대,0,4,0,661.06
2019,904057,1.2992,1.00,1,3,30대,1,4,0,274.45
2019,905030,1.1512,1.00,2,5,50대,0,2,0,1560.23
2019,905202,1.8168,1.00,2,2,20대,1,3,0,467.60
2019,905204,1.8168,1.00,2,2,20대,1,4,0,1268.87
2019,905230,1.2666,1.00,2,3,30대,1,1,0,1579.03
2019,905607,1.2666,1.00,2,3,30대,1,2,0,939.90
2019,905617,1.3659,1.00,1,5,50대,0,5,0,939.90
2019,906003,1.1512,1.00,2,5,50대,0,4,0,545.14
2019,801032,1.1459,1.00,2,5,50대,0,2,0,275.10
2019,801048,1.5209,1.00,2,3,30대,1,2,0,632.73
2019,801416,1.4089,1.00,1,5,50대,0,5,0,348.46
2019,801417,1.1459,1.00,2,5,50대,0,3,0,739.56
2019,801419,1.8531,1.00,1,4,40대,0,4,0,495.18
2019,803006,2.6391,1.00,2,2,20대,1,3,0,449.33
2019,803010,1.4581,1.00,1,3,30대,1,4,0,421.82
2019,804017,1.8361,1.00,2,4,40대,0,4,0,962.85
2019,804019,2.6391,1.00,2,1,10대(15-19세),1,4,0,1311.31
2019,804026,3.1741,1.00,1,2,20대,1,4,0,1256.29
2019,804027,2.6391,1.00,2,2,20대,1,4,0,898.66
2019,804029,3.1741,1.00,1,2,20대,1,1,0,339.29
2019,804034,2.6391,1.00,2,1,10대(15-19세),1,5,0,1604.75
2019,804038,1.8531,1.00,1,4,40대,0,4,0,839.06
2019,804040,2.6391,1.00,2,2,20대,1,4,0,504.35
2019,804041,1.4089,1.00,1,5,50대,0,1,0,1132.50
2019,804044,1.4581,1.00,1,3,30대,1,4,0,1283.80
2019,804050,1.4089,1.00,1,5,50대,0,3,0,550.20
2019,804051,1.8361,1.00,2,4,40대,0,5,0,117.38
2019,804061,1.1459,1.00,2,5,50대,0,5,0,884.91
2019,804063,2.6391,1.00,2,2,20대,1,4,0,856.48
2019,805014,1.5209,1.00,2,3,30대,1,3,0,1054.55
2019,805202,1.4581,1.00,1,3,30대,1,2,0,623.56
2019,805212,2.6391,1.00,2,2,20대,1,5,0,678.58
2019,805228,1.1459,1.00,2,5,50대,0,4,0,1228.78
2019,805240,1.8361,1.00,2,4,40대,0,2,0,486.01
2019,701001,1.5339,1.00,2,2,20대,1,4,0,2133.75
2019,701003,1.5339,1.00,2,2,20대,1,4,0,387.95
2019,701004,1.9176,1.00,1,3,30대,1,4,0,170.88
2019,701005,1.7509,1.00,1,4,40대,0,2,0,415.67
2019,701006,1.3886,1.00,1,2,20대,1,4,0,665.06
2019,701022,1.3886,1.00,1,2,20대,1,4,0,323.30
2019,701023,1.7509,1.00,1,4,40대,0,1,0,545.91
2019,701024,1.3886,1.00,1,2,20대,1,3,0,503.42
2019,701045,1.8535,1.00,2,3,30대,1,4,0,323.30
2019,701046,1.4211,1.00,2,5,50대,0,2,0,535.75
2019,701047,1.6260,1.00,1,6,60대이상,0,4,0,397.19
2019,701412,1.5339,1.00,2,2,20대,1,3,0,923.70
2019,701414,1.5339,1.00,2,2,20대,1,3,0,1154.63
2019,701415,1.3886,1.00,1,2,20대,1,2,0,715.87
2019,701417,1.6260,1.00,1,6,60대이상,0,1,0,1034.54
2019,701419,1.8535,1.00,2,3,30대,1,3,0,923.70
2019,701423,1.4211,1.00,2,5,50대,0,4,0,1173.10
2019,703014,1.3886,1.00,1,2,20대,1,4,0,323.30
2019,703018,1.5271,1.00,2,4,40대,0,4,0,563.46
2019,704012,1.9176,1.00,1,3,30대,1,2,0,600.41
2019,704021,1.5271,1.00,2,4,40대,0,4,0,1958.24
2019,704022,1.4211,1.00,2,5,50대,0,4,0,1006.83
2019,704025,1.8535,1.00,2,3,30대,1,4,0,355.62
2019,704031,1.9176,1.00,1,3,30대,1,2,0,646.59
2019,704041,1.4211,1.00,2,5,50대,0,4,0,694.62
2019,704056,1.3886,1.00,1,2,20대,1,3,0,997.60
2019,704058,1.5339,1.00,2,2,20대,1,1,0,447.99
2019,704155,1.5339,1.00,2,2,20대,1,3,0,277.11
2019,705013,1.5339,1.00,2,2,20대,1,5,0,480.32
2019,705014,1.9176,1.00,1,3,30대,1,4,0,1570.29
2019,705233,1.8535,1.00,2,3,30대,1,4,0,480.32
2019,601324,2.0707,1.00,1,5,50대,0,1,0,325.80
2019,601355,1.3109,1.00,2,2,20대,1,4,0,928.84
2019,601364,1.3109,1.00,2,2,20대,1,2,0,683.24
2019,601365,1.3109,1.00,2,2,20대,1,2,0,387.79
2019,601366,2.5249,1.00,1,3,30대,1,3,0,230.83
2019,601367,1.3109,1.00,2,2,20대,1,1,0,941.77
2019,601401,2.5249,1.00,1,3,30대,1,4,0,1274.15
2019,601412,1.7764,1.00,1,4,40대,0,4,0,2012.79
2019,601413,1.3109,1.00,2,1,10대(15-19세),1,3,0,544.75
2019,601414,2.0361,1.00,2,5,50대,0,4,0,295.46
2019,601415,1.6400,1.00,2,4,40대,0,4,0,613.99
2019,601416,1.3109,1.00,2,2,20대,1,4,0,752.49
2019,601417,1.6400,1.00,2,4,40대,0,5,0,701.71
2019,601420,2.5249,1.00,1,3,30대,1,4,0,720.17
2019,601424,1.3109,1.00,2,2,20대,1,2,0,1043.33
2019,601435,1.2468,1.00,1,2,20대,1,1,0,415.30
2019,601446,1.3109,1.00,2,2,20대,1,3,0,419.92
2019,601453,1.3109,1.00,2,2,20대,1,4,0,766.34
2019,601463,1.3109,1.00,2,2,20대,1,4,0,775.57
2019,601464,1.6400,1.00,2,4,40대,0,4,0,692.48
2019,604013,1.6400,1.00,2,4,40대,0,3,0,646.31
2019,604014,1.3109,1.00,2,2,20대,1,1,0,452.42
2019,604015,1.6400,1.00,2,4,40대,0,4,0,1156.89
2019,604021,2.0361,1.00,2,6,60대이상,0,5,0,517.05
2019,604026,1.3109,1.00,2,2,20대,1,4,0,710.94
2019,604028,2.0707,1.00,1,5,50대,0,3,0,987.93
2019,604031,2.0707,1.00,1,5,50대,0,1,0,507.82
2019,604038,1.3109,1.00,2,2,20대,1,5,0,1073.80
2019,604042,2.0707,1.00,1,6,60대이상,0,4,0,581.68
2019,604045,2.5249,1.00,1,3,30대,1,2,0,1551.14
2019,604051,1.7764,1.00,1,4,40대,0,4,0,701.71
2019,604054,1.2468,1.00,1,2,20대,1,4,0,600.15
2019,604059,1.3109,1.00,2,2,20대,1,4,0,720.17
2019,605213,2.5249,1.00,1,3,30대,1,4,0,1384.95
2019,605215,2.0714,1.00,2,3,30대,1,4,0,446.88
2019,605224,1.3109,1.00,2,2,20대,1,4,0,743.26
2019,605611,1.3109,1.00,2,2,20대,1,3,0,1191.06
2019,606001,1.2468,1.00,1,2,20대,1,4,0,720.17
2019,606003,1.7764,1.00,1,4,40대,0,4,0,840.20
2019,500544,1.3766,1.00,1,1,10대(15-19세),1,4,0,905.67
2019,500547,1.1525,1.00,2,2,20대,1,4,0,1102.94
2019,500607,1.6880,1.00,2,4,40대,0,4,0,405.31
2019,500608,1.6880,1.00,2,4,40대,0,4,0,773.85
2019,500609,1.8106,1.00,1,3,30대,1,3,0,285.15
2019,500628,2.1670,1.00,1,6,60대이상,0,4,0,1371.95
2019,500634,1.1525,1.00,2,2,20대,1,4,0,672.53
2019,500643,1.8106,1.00,1,3,30대,1,4,0,1085.01
2019,500646,1.1525,1.00,2,2,20대,1,4,0,766.68
2019,500653,1.1525,1.00,2,2,20대,1,4,0,2273.13
2019,500664,1.1525,1.00,2,1,10대(15-19세),1,4,0,1389.89
2019,500666,2.1338,1.00,2,5,50대,0,4,0,1551.29
2019,500668,1.1525,1.00,2,2,20대,1,4,0,564.92
2019,500672,1.1525,1.00,2,2,20대,1,2,0,3320.30
2019,500993,1.1525,1.00,2,2,20대,1,2,0,434.90
2019,500994,1.1525,1.00,2,1,10대(15-19세),1,1,0,484.22
2019,500999,1.1525,1.00,2,2,20대,1,5,0,923.60
2019,501000,1.9401,1.00,1,4,40대,0,4,0,860.83
2019,501001,1.1525,1.00,2,2,20대,1,4,0,591.82
2019,501002,1.8106,1.00,1,3,30대,1,2,0,573.89
2019,501191,1.1525,1.00,2,2,20대,1,5,0,776.46
2019,501202,2.1670,1.00,1,5,50대,0,3,0,549.68
2019,501203,1.1525,1.00,2,2,20대,1,3,0,379.79
2019,501204,1.6880,1.00,2,4,40대,0,5,0,692.06
2019,501220,2.1338,1.00,2,5,50대,0,4,0,538.02
2019,501224,1.3766,1.00,1,2,20대,1,4,0,735.29
2019,501227,1.1525,1.00,2,2,20대,1,3,0,439.38
2019,501231,2.2002,1.00,2,3,30대,1,4,0,690.46
2019,400017,1.3715,1.00,2,2,20대,1,4,0,567.69
2019,400018,1.9851,1.00,2,5,50대,0,4,0,2022.97
2019,400020,1.8803,1.00,1,5,50대,0,1,0,261.32
2019,400598,1.3715,1.00,2,2,20대,1,4,0,1513.85
2019,400600,1.7555,1.00,1,3,30대,1,1,0,450.55
2019,400601,1.7449,1.00,2,3,30대,1,4,0,1139.89
2019,400603,1.3715,1.00,2,2,20대,1,2,0,702.86
2019,400604,1.3715,1.00,2,2,20대,1,4,0,668.62
2019,400617,1.5482,1.00,1,2,20대,1,1,0,369.45
2019,400624,1.3715,1.00,2,2,20대,1,4,0,946.16
2019,400625,1.5223,1.00,1,4,40대,0,4,0,635.28
2019,400626,1.5223,1.00,1,4,40대,0,1,0,1712.09
2019,400627,1.7555,1.00,1,3,30대,1,3,0,1135.39
2019,400633,1.5482,1.00,1,2,20대,1,4,0,946.16
2019,400635,1.7449,1.00,2,3,30대,1,4,0,493.80
2019,400639,1.5482,1.00,1,2,20대,1,1,0,468.57
2019,400641,1.7449,1.00,2,3,30대,1,4,0,1802.20
2019,400644,1.7449,1.00,2,3,30대,1,5,0,738.90
2019,400647,1.9851,1.00,2,6,60대이상,0,4,0,558.68
2019,400649,1.3715,1.00,2,2,20대,1,2,0,738.90
2019,400653,1.7449,1.00,2,3,30대,1,3,0,1171.43
2019,400668,1.3715,1.00,2,2,20대,1,5,0,554.18
2019,400864,1.3715,1.00,2,2,20대,1,4,0,423.52
2019,400875,1.3715,1.00,2,2,20대,1,4,0,558.68
2019,401129,1.3715,1.00,2,2,20대,1,1,0,405.50
2019,401172,1.9851,1.00,2,5,50대,0,3,0,360.44
2019,401190,1.5223,1.00,1,4,40대,0,2,0,373.96
2019,401248,1.7449,1.00,2,3,30대,1,4,0,563.19
2019,401268,1.9153,1.00,2,4,40대,0,3,0,1229.59
2019,401269,1.8803,1.00,1,5,50대,0,4,0,603.74
2019,300788,1.4256,1.00,1,5,50대,0,3,0,393.05
2019,300789,1.7068,1.00,2,3,30대,1,4,0,630.67
2019,300790,1.4783,1.00,1,4,40대,0,2,0,241.19
2019,300791,3.3258,1.00,2,2,20대,1,4,0,473.45
2019,300803,1.3595,1.00,1,3,30대,1,2,0,598.51
2019,300804,2.6720,1.00,1,2,20대,1,4,0,607.44
2019,300805,3.3258,1.00,2,2,20대,1,4,0,777.17
2019,300820,1.4256,1.00,1,5,50대,0,1,0,321.59
2019,300878,3.3258,1.00,2,2,20대,1,4,0,827.20
2019,300879,1.8661,1.00,2,5,50대,0,1,0,598.51
2019,300883,1.4256,1.00,1,5,50대,0,2,0,1071.96
2019,300885,1.4783,1.00,1,4,40대,0,2,0,375.19
2019,300890,1.4783,1.00,1,4,40대,0,3,0,312.66
2019,300911,1.8661,1.00,2,5,50대,0,2,0,750.37
2019,300912,1.4783,1.00,1,4,40대,0,5,0,1554.34
2019,300920,2.6720,1.00,1,2,20대,1,5,0,803.97
2019,300923,3.3258,1.00,2,2,20대,1,4,0,309.08
2019,300935,2.0740,1.00,2,4,40대,0,4,0,1259.55
2019,301150,2.0740,1.00,2,4,40대,0,11,0,1339.95
2019,301166,1.4783,1.00,1,4,40대,0,4,0,343.92
2019,301168,1.4256,1.00,1,6,60대이상,0,4,0,795.04
2019,301169,3.3258,1.00,2,1,10대(15-19세),1,5,0,8289.82
2019,301184,3.3258,1.00,2,1,10대(15-19세),1,3,0,414.04
2019,301186,1.4783,1.00,1,4,40대,0,4,0,950.47
2019,301195,1.7068,1.00,2,3,30대,1,4,0,1339.95
2019,301196,3.3258,1.00,2,2,20대,1,3,0,1054.09
2019,301197,1.7068,1.00,2,3,30대,1,5,0,911.17
2019,301223,2.0740,1.00,2,4,40대,0,4,0,687.84
2019,301226,1.7068,1.00,2,3,30대,1,4,0,696.77
2019,301233,2.6720,1.00,1,2,20대,1,2,0,768.24
2019,301243,3.3258,1.00,2,2,20대,1,2,0,929.03
2019,301251,1.7068,1.00,2,3,30대,1,2,0,991.56
2019,301275,3.3258,1.00,2,2,20대,1,5,0,506.50
2019,301297,2.6720,1.00,1,1,10대(15-19세),1,1,0,527.05
2019,301299,3.3258,1.00,2,2,20대,1,4,0,497.07
2019,100302,1.2972,1.00,2,2,20대,1,4,0,394.01
2019,100305,1.3834,1.00,2,3,30대,1,4,0,317.96
2019,100306,1.0223,1.00,2,5,50대,0,5,0,714.71
2019,100646,1.2972,1.00,2,2,20대,1,4,0,632.25
2019,100704,1.0223,1.00,2,5,50대,0,4,0,897.97
2019,100708,1.2972,1.00,2,2,20대,1,4,0,448.99
2019,100709,1.3834,1.00,2,3,30대,1,3,0,733.04
2019,100711,1.2972,1.00,2,2,20대,1,4,0,943.79
2019,100730,1.2972,1.00,2,1,10대(15-19세),1,4,0,925.46
2019,100732,1.6139,1.00,1,2,20대,1,5,0,293.22
2019,100736,1.1517,1.00,1,6,60대이상,0,4,0,778.86
2019,100744,1.1517,1.00,1,6,60대이상,0,5,0,1105.97
2019,100745,1.3834,1.00,2,3,30대,1,3,0,201.59
2019,100778,1.2972,1.00,2,2,20대,1,2,0,560.00
2019,100787,1.0223,1.00,2,6,60대이상,0,4,0,503.97
2019,100798,1.3541,1.00,1,4,40대,0,4,0,751.37
2019,100811,1.2972,1.00,2,2,20대,1,2,0,852.16
2019,100842,1.0223,1.00,2,5,50대,0,2,0,641.41
