id,Q1,RQ1,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,Q2a1,Q2a2,MQ2A2_61,RQ2A2,Q11A$01,Q11A$02,Q11A$03,Q11A$04,Q11A$05,Q11A$06,Q11A$07,Q11A$08,Q11A$09,Q11A$10,Q11A$11,Q11A$12,Q11A$13,Q11A$14,Q11A$98,호텔숙박60,모텔숙박60,펜션숙박60,콘도숙박60,유스숙박60,야영숙박60,연수숙박60,한옥숙박60,게스숙박60,민박숙박60,휴양숙박60,친지숙박60,기타숙박60,Q11_1a01t,Q11_1a02t,Q11_1a03t,Q11_1a04t,Q11_1a05t,Q11_1a06t,Q11_1a07t,Q11_1a08t,Q11_1a09t,Q11_1a10t,Q11_1a11t,Q11_1a12t,Q11_1a13t,Q11_1a14t,Q11_1a15t,Q11_1a16t,Q11_1a17t,총액1인TOT,총액1인MIS,C총액1인MIS,DAYall평균,DAY평균,RDAY평균,Q7,Q8,Q9,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_PLA,D_Q1,D_TYP
328.0,1.00,1.00,3.0,,,,1.0,1.0,,,,,,,,,,,,,14.0,,,,1.0,14.0,,,,,,,,,,,,,,13.0,,,,,,,,,,6.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,6.00,,,,,5,6,6.00,2.00,1.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2271.00,2271.00,3.00,378.50,378.50,4.00,4.0,4.0,4.0,1.00,1.00,97.00,1.00,5.00,3.00,1.00,1.00,
334.0,1.00,1.00,4.0,,,,1.0,,2.0,,4.0,,6.0,,,,,,,,,15.0,,,4.0,6.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,1.00,,3.00,,,,,,179.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,180,,14.00,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2271.00,2271.00,3.00,12.62,,,5.0,5.0,5.0,1.00,1.00,97.00,2.00,2.00,4.00,1.00,1.00,
335.0,1.00,1.00,3.0,,,,1.0,,2.0,3.0,4.0,,6.0,,,,,,,,14.0,,,,3.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,17.0,1.00,,,,,,,8.00,72.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,75,76,,13.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,17032.50,,98.00,224.11,,,3.0,5.0,4.0,1.00,1.00,13.00,1.00,2.00,3.00,2.00,1.00,
339.0,1.00,1.00,3.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,14.0,,,,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,17.0,1.00,,,,,,,8.00,72.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,75,76,,13.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,17032.50,,98.00,224.11,,,2.0,5.0,3.0,1.00,1.00,13.00,1.00,2.00,3.00,2.00,1.00,
340.0,1.00,1.00,2.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,,6.0,,,,,,12.0,,,,,,1.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,0.00,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,70,,13.00,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,2271.00,2271.00,3.00,32.44,,,5.0,5.0,5.0,1.00,1.00,97.00,2.00,5.00,2.00,1.00,1.00,1.00
341.0,1.00,1.00,3.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,14.0,,,,14.0,11.0,3.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,76,,13.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,14761.50,,98.00,194.23,,,4.0,4.0,4.0,1.00,1.00,13.00,1.00,2.00,3.00,2.00,1.00,
353.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,1.0,4.0,3.0,1.0,,3.0,4.0,,,,,,,,,13.0,,,,17.0,1.00,,3.00,4.00,,6.00,,8.00,161.00,,10.00,2.00,,,,,,,,,3.00,,,,4.00,,,,,,,,,,,,,,,,,,162.00,,11.00,3.00,,,,,,,,,4.00,,,,5.00,,,,,,,,,,,,,,,,,,180,181,,14.00,1.00,,,,,,7.00,,9.00,,,,,,,,,,,,,,,,,,,,7.0,,1.0,9.0,,,,,,,,,1.0,,,,1.0,6813.00,6813.00,5.00,37.64,,,5.0,5.0,5.0,1.00,1.00,13.00,2.00,2.00,4.00,2.00,1.00,
354.0,3.00,3.00,2.0,13.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,42.00,,,,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,,,,42,43,43.00,12.00,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,42.00,,12.0,,,,,,,,,,,,,,,,,2838.75,2838.75,3.00,66.02,66.02,2.00,5.0,5.0,5.0,1.00,1.00,97.00,1.00,6.00,2.00,1.00,3.00,
358.0,3.00,3.00,2.0,13.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,42.00,,,,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,,,,42,43,43.00,12.00,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,42.00,,12.0,,,,,,,,,,,,,,,,,2838.75,2838.75,3.00,66.02,66.02,2.00,5.0,5.0,5.0,1.00,1.00,97.00,2.00,5.00,2.00,1.00,3.00,
365.0,5.00,4.00,2.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,3.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,13.0,,,,,1.00,2.00,3.00,,,6.00,,,0.00,0.00,37.00,,,,,,,,,,4.00,,,,,0.00,0.00,37.00,,,,,,,,,,4.00,,,,,1.00,1.00,37.00,,,,,,,,,,5.00,,,,,1.00,1.00,37.00,,,,,,,,,,5.00,,,,,41,42,42.00,12.00,1.00,,,,,,,,,,,12.00,,,,4.00,,,,,,,,,,,37.00,,,,12.0,,,,,,,,,,1.0,,,,,2271.00,2271.00,3.00,54.07,54.07,2.00,5.0,5.0,5.0,1.00,1.00,13.00,1.00,4.00,2.00,1.00,4.00,
369.0,15.00,4.00,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,2.00,,,,,,,,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,80,,13.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,8691.00,8691.00,5.00,108.64,,,4.0,4.0,4.0,1.00,1.00,1.00,1.00,4.00,3.00,2.00,4.00,1.00
370.0,1.00,1.00,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,8.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,8,9,9.00,3.00,1.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1646.93,1646.93,2.00,182.99,182.99,3.00,4.0,4.0,4.0,1.00,1.00,97.00,1.00,2.00,3.00,1.00,1.00,
371.0,5.00,4.00,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,,,,1.0,2.0,14.0,,2.0,,,,,,,,,,,,,,,,,2.00,,,,,,,,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,80,,13.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,8691.00,8691.00,5.00,108.64,,,4.0,4.0,4.0,1.00,1.00,1.00,1.00,3.00,3.00,2.00,4.00,1.00
372.0,1.00,1.00,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,8.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,8,9,9.00,3.00,1.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1646.93,1646.93,2.00,182.99,182.99,3.00,4.0,4.0,4.0,1.00,1.00,97.00,1.00,2.00,3.00,1.00,1.00,
377.0,3.00,3.00,4.0,,,,1.0,1.0,2.0,,4.0,,,,,,,,,,,15.0,,,2.0,1.0,4.0,1.0,,3.0,,,,,,,,11.0,,13.0,,,,17.0,1.00,,3.00,,,6.00,,8.00,349.00,,0.00,,,,,,,,0.00,,5.00,,,,6.00,,,,,,,,,,,,,,,,,,350.00,,1.00,,,,,,,,1.00,,6.00,,,,7.00,,,,,,,,,,,,,,,,,,360,361,,14.00,1.00,,,,,,,,9.00,,,,,14.00,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,1.0,,,,9.0,823.47,823.47,1.00,2.28,,,5.0,5.0,5.0,1.00,1.00,1.00,2.00,2.00,4.00,2.00,3.00,1.00
384.0,58.00,4.00,3.0,,,,1.0,,2.0,,,,,,,,,11.0,,,14.0,,,,14.0,11.0,2.0,,,3.0,,,,,,,,,,,,,,,,,3.00,,,,,,,,45.00,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,,45,46,46.00,12.00,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,45.00,,,14.0,,,,,,,,,,,,,,,3000.00,3000.00,3.00,65.22,65.22,2.00,5.0,5.0,5.0,1.00,1.00,8.00,1.00,3.00,3.00,2.00,4.00,
386.0,5.00,4.00,4.0,,,,1.0,,2.0,,,,6.0,,,,,,,,,15.0,,,6.0,2.0,15.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,359.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,360,,14.00,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,15700.00,,98.00,43.61,,,4.0,5.0,4.0,1.00,1.00,2.00,1.00,2.00,4.00,1.00,4.00,
396.0,1.00,1.00,3.0,,,,2.0,,2.0,3.0,4.0,,,,,,,,,13.0,,,,,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,89.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,90,,13.00,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2000.00,2000.00,2.00,22.22,,,5.0,3.0,4.0,1.00,1.00,97.00,1.00,1.00,3.00,1.00,1.00,
397.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,,,,6.0,,,,,,,,,15.0,,,1.0,6.0,2.0,1.0,2.0,3.0,,,6.0,,8.0,,10.0,,,13.0,14.0,,,,1.00,2.00,3.00,,5.00,6.00,7.00,,323.00,1.00,1.00,,,0.00,,0.00,,1.00,,,2.00,1.00,,,,,,,,,,,,,,,,,,,,,324.00,2.00,2.00,,,1.00,,1.00,,2.00,,,3.00,2.00,,,,,,,,,,,,,,,,,,,,,329,330,,14.00,1.00,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1646.93,1646.93,2.00,4.99,,,5.0,5.0,5.0,1.00,1.00,19.00,2.00,2.00,4.00,1.00,1.00,
399.0,1.00,1.00,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,1.0,,,,,,,8.0,,,,,,,,,,1.00,,,,5.00,,,,10.00,,,,,,,14.00,,,,,,,,,,10.00,,,,,,,14.00,,,,,,,,,,11.00,,,,,,,15.00,,,,,,,,,,11.00,,,,,,,15.00,,,,,,,,,,24,25,25.00,11.00,1.00,,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,7267.20,7267.20,5.00,290.69,290.69,3.00,4.0,4.0,4.0,1.00,1.00,97.00,1.00,2.00,3.00,1.00,1.00,
402.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,,,,6.0,,,,,,,,,,16.0,,1.0,2.0,6.0,1.0,2.0,3.0,,,6.0,,8.0,,10.0,,,13.0,14.0,,,,1.00,2.00,3.00,,5.00,6.00,7.00,,323.00,1.00,1.00,,,0.00,,0.00,,1.00,,,2.00,1.00,,,,,,,,,,,,,,,,,,,,,324.00,2.00,2.00,,,1.00,,1.00,,2.00,,,3.00,2.00,,,,,,,,,,,,,,,,,,,,,329,330,,14.00,1.00,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1646.93,1646.93,2.00,4.99,,,5.0,5.0,5.0,1.00,1.00,19.00,2.00,2.00,4.00,1.00,1.00,
408.0,3.00,3.00,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,13.0,,15.0,,,4.0,1.0,11.0,1.0,2.0,,4.0,,6.0,,,,,,12.0,13.0,,15.0,16.0,17.0,1.00,2.00,,4.00,5.00,6.00,7.00,8.00,0.00,340.00,,4.00,,2.00,,,,,,1.00,4.00,,2.00,5.00,6.00,,,,,,,,,,,,,,,,,,3.00,341.00,,5.00,,3.00,,,,,,2.00,5.00,,3.00,6.00,7.00,,,,,,,,,,,,,,,,,,364,365,,14.00,1.00,,,,,,7.00,,9.00,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,9.0,17032.50,,98.00,46.66,,,5.0,2.0,5.0,1.00,1.00,97.00,2.00,2.00,4.00,1.00,3.00,
451.0,1.00,1.00,3.0,,,,1.0,,,,4.0,,,,,,,,,,14.0,,,,14.0,4.0,,1.0,,,,,,,,,,,,13.0,,,,,1.00,,,,,6.00,,,10.00,,,,,,,,,,,,1.00,,,,,10.00,,,,,,,,,,,,1.00,,,,,11.00,,,,,,,,,,,,2.00,,,,,11.00,,,,,,,,,,,,2.00,,,,,11,12,12.00,11.00,1.00,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,4542.00,4542.00,4.00,378.50,378.50,4.00,5.0,5.0,5.0,1.00,1.00,97.00,1.00,3.00,3.00,2.00,1.00,1.00
467.0,2.00,2.00,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,3.00,,,,,,,,59.00,,,,,,,,,,,,,,,,,59.00,,,,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,59,60,60.00,12.00,,,3.00,,,,,,,,,,,,,,,59.00,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,10000.00,10000.00,5.00,166.67,166.67,3.00,5.0,5.0,5.0,1.00,1.00,14.00,2.00,5.00,2.00,2.00,2.00,1.00
471.0,7.00,4.00,2.0,4.0,6.0,2.0,1.0,1.0,2.0,3.0,,,,7.0,8.0,,,11.0,,,,,,,8.0,2.0,11.0,1.0,,3.0,,,,,,,,,,,,,,,1.00,,3.00,,,,,,34.00,,1.00,,,,,,,,,,,,,,,34.00,,1.00,,,,,,,,,,,,,,,35.00,,2.00,,,,,,,,,,,,,,,35.00,,2.00,,,,,,,,,,,,,,,35,36,36.00,12.00,1.00,,,,,,,,,10.00,,,,,,1.00,,,,,,,,,34.00,,,,10.0,,1.0,,,,,,,,,,,,,,,3406.50,3406.50,4.00,94.63,94.63,2.00,5.0,5.0,5.0,1.00,1.00,12.00,2.00,3.00,2.00,2.00,4.00,1.00
